Time: Mon Dec 12 14:08:31 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.26,48.30,0.24,0.20,-0.00
1100,48.28,48.27,0.25,0.21,-0.00
1100,48.24,48.25,0.24,0.21,-0.00
1100,48.25,48.27,0.24,0.19,-0.00
1200,48.28,48.27,0.76,0.44,0.33
1200,48.29,48.22,0.63,0.43,0.36
1200,48.27,48.26,0.60,0.44,0.35
1200,48.28,48.28,0.59,0.42,0.32
1300,48.25,48.27,1.04,0.76,0.77
1300,48.24,48.26,1.12,0.86,0.79
1300,48.27,48.25,1.10,0.81,0.78
1300,48.20,48.23,1.14,0.83,0.80
1400,48.23,48.22,2.19,1.33,1.43
1400,48.22,48.20,2.13,1.36,1.40
1400,48.21,48.24,2.13,1.34,1.42
1400,48.22,48.26,2.12,1.38,1.40
1500,48.13,48.16,3.79,2.59,2.29
1500,48.19,48.17,3.89,2.47,2.25
1500,48.12,48.18,3.87,2.43,2.24
1500,48.16,48.17,3.93,2.52,2.23
1600,48.08,48.18,5.77,3.93,3.04
1600,48.14,48.15,5.56,3.96,3.08
1600,48.11,48.06,5.88,3.75,3.12
1600,48.13,48.13,5.82,3.67,3.14
1700,47.99,48.07,8.63,5.04,3.99
1700,48.02,48.05,8.25,5.34,4.01
1700,48.00,48.04,8.46,5.37,4.03
1700,48.09,48.01,8.52,5.20,4.03
1800,47.95,47.96,11.48,7.28,5.04
1800,47.92,47.93,11.40,7.69,5.03
1800,47.93,47.96,12.01,7.54,5.04
1800,47.92,48.02,11.45,7.49,5.04
