Time: Tue Dec 13 08:21:37 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.28,48.25,0.23,0.20,0.00
1100,48.22,48.27,0.22,0.20,0.00
1100,48.16,48.20,0.23,0.17,0.00
1100,48.26,48.27,0.23,0.19,-0.00
1100,48.22,48.26,0.22,0.20,-0.00
1200,48.26,48.24,0.99,0.44,0.35
1200,48.22,48.26,0.64,0.43,0.37
1200,48.27,48.21,0.61,0.40,0.36
1200,48.22,48.23,0.56,0.41,0.38
1200,48.22,48.23,0.63,0.43,0.34
1300,48.23,48.20,1.14,0.79,0.83
1300,48.25,48.24,1.09,0.82,0.84
1300,48.24,48.22,1.15,0.86,0.84
1300,48.22,48.27,1.13,0.85,0.80
1300,48.24,48.22,1.14,0.78,0.84
1400,48.19,48.23,2.12,1.42,1.44
1400,48.19,48.22,2.15,1.38,1.45
1400,48.17,48.19,2.17,1.38,1.41
1400,48.22,48.17,2.15,1.46,1.42
1400,48.23,48.18,2.15,1.44,1.46
1500,48.19,48.16,3.78,2.58,2.30
1500,48.09,48.16,3.74,2.55,2.30
1500,48.13,48.15,3.84,2.45,2.33
1500,48.13,48.18,3.81,2.52,2.31
1500,48.18,48.18,3.90,2.44,2.28
1600,48.08,48.13,5.79,4.01,3.18
1600,48.07,48.09,5.91,3.88,3.17
1600,48.05,48.07,5.95,3.92,3.16
1600,48.05,48.11,5.61,4.07,3.12
1600,48.07,48.10,5.88,3.80,3.15
1700,47.99,48.04,8.45,5.48,4.11
1700,48.01,48.05,8.50,5.44,4.11
1700,48.06,47.99,8.61,5.65,4.09
1700,48.02,48.06,8.50,5.57,4.10
1700,48.02,48.00,8.42,5.27,4.09
1800,47.88,47.90,12.57,7.54,5.22
1800,47.83,47.94,11.65,7.67,5.08
1800,47.93,47.97,11.54,7.69,5.05
1800,47.88,47.93,11.88,7.44,5.04
1800,47.82,47.95,12.35,7.34,5.07
