Time: Thu Dec  8 15:56:30 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.37,48.41,0.25,0.19,0.00
1100,48.38,48.41,0.25,0.21,0.00
1100,48.32,48.38,0.27,0.21,-0.00
1100,48.38,48.40,0.23,0.21,-0.00
1100,48.35,48.38,0.26,0.20,-0.00
1200,48.35,48.37,1.03,0.55,0.39
1200,48.36,48.37,0.61,0.53,0.40
1200,48.36,48.35,0.58,0.50,0.40
1200,48.35,48.36,0.60,0.51,0.42
1200,48.32,48.40,0.60,0.57,0.41
1300,48.34,48.32,1.13,1.13,0.96
1300,48.32,48.32,1.11,1.14,0.96
1300,48.32,48.36,1.10,1.11,0.93
1300,48.34,48.35,1.12,1.12,0.97
1300,48.34,48.35,1.10,1.14,0.96
1400,48.29,48.29,2.08,2.08,1.63
1400,48.32,48.32,2.04,2.25,1.65
1400,48.30,48.32,2.12,2.17,1.63
1400,48.33,48.30,2.15,2.20,1.65
1400,48.33,48.30,2.05,2.09,1.66
1500,48.22,48.26,3.89,4.01,2.60
1500,48.24,48.25,3.78,4.12,2.58
1500,48.25,48.25,3.90,4.06,2.60
1500,48.21,48.23,3.79,3.98,2.57
1500,48.22,48.24,3.84,4.09,2.59
1600,48.17,48.17,5.67,6.62,3.54
1600,48.16,48.19,5.89,6.40,3.55
1600,48.12,48.11,6.08,6.18,3.56
1600,48.18,48.21,6.00,6.66,3.53
1600,48.11,48.17,5.80,6.35,3.54
1700,48.09,48.09,8.34,8.98,4.52
1700,48.10,48.09,8.33,9.12,4.51
1700,48.07,48.10,8.36,9.29,4.52
1700,48.15,48.05,8.33,9.09,4.56
1700,48.18,48.10,8.85,8.85,4.58
1800,47.90,47.97,13.02,12.39,5.74
1800,47.93,47.91,13.24,12.23,5.77
1800,47.90,47.96,12.95,12.22,5.80
1800,47.98,47.94,13.47,12.37,5.77
1800,47.90,47.89,13.44,11.93,5.72
