Time: Thu Dec  8 16:15:58 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.39,48.41,0.25,0.21,0.00
1100,48.35,48.37,0.27,0.21,0.00
1100,48.39,48.38,0.23,0.20,0.00
1100,48.37,48.39,0.26,0.23,-0.00
1100,48.38,48.35,0.24,0.21,0.00
1200,48.33,48.37,0.65,0.48,0.37
1200,48.36,48.37,0.61,0.45,0.37
1200,48.37,48.38,0.59,0.49,0.38
1200,48.32,48.37,0.61,0.48,0.37
1200,48.31,48.38,0.60,0.49,0.38
1300,48.31,48.40,1.13,1.02,0.90
1300,48.35,48.34,1.09,1.07,0.91
1300,48.36,48.31,1.14,0.99,0.88
1300,48.35,48.38,1.12,1.03,0.89
1300,48.31,48.34,1.08,1.05,0.89
1400,48.31,48.28,2.11,1.94,1.57
1400,48.32,48.26,2.04,1.98,1.54
1400,48.33,48.30,2.02,2.05,1.55
1400,48.27,48.29,2.15,1.93,1.57
1400,48.30,48.34,2.16,1.98,1.58
1500,48.26,48.26,3.73,3.52,2.48
1500,48.23,48.28,3.79,3.69,2.50
1500,48.27,48.25,3.63,3.80,2.51
1500,48.22,48.26,3.86,3.63,2.49
1500,48.28,48.20,3.68,3.86,2.51
1600,48.15,48.21,5.76,5.70,3.44
1600,48.14,48.20,5.75,5.59,3.38
1600,48.19,48.22,5.89,5.72,3.40
1600,48.16,48.19,5.61,5.89,3.42
1600,48.16,48.16,5.62,5.82,3.37
1700,48.06,48.07,8.43,7.76,4.35
1700,48.08,48.05,8.42,7.88,4.35
1700,48.13,48.11,8.23,7.79,4.41
1700,48.10,48.14,8.42,7.66,4.35
1700,48.10,48.11,8.21,8.18,4.33
1800,47.91,48.03,12.35,10.79,5.43
1800,47.97,47.96,13.60,10.66,5.43
1800,47.93,47.95,12.86,10.70,5.52
1800,47.94,48.02,13.20,10.56,5.38
1800,47.90,48.00,12.76,10.74,5.44
