Time: Mon Dec 12 13:51:15 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.30,48.33,0.25,0.21,0.00
1100,48.33,48.31,0.26,0.20,0.00
1100,48.30,48.33,0.24,0.19,0.01
1100,48.26,48.30,0.24,0.23,0.01
1200,48.24,48.26,0.66,0.49,0.38
1200,48.29,48.26,0.64,0.49,0.39
1200,48.26,48.24,0.63,0.46,0.36
1200,48.22,48.28,0.60,0.47,0.38
1300,48.28,48.24,1.13,0.93,0.87
1300,48.29,48.28,1.09,1.00,0.85
1300,48.23,48.22,1.12,1.00,0.88
1300,48.23,48.29,1.18,0.95,0.89
1400,48.27,48.24,2.25,1.61,1.56
1400,48.18,48.23,2.08,1.62,1.54
1400,48.27,48.25,2.11,1.66,1.51
1400,48.24,48.23,2.19,1.59,1.56
1500,48.08,48.19,3.92,3.09,2.47
1500,48.17,48.19,3.90,3.01,2.45
1500,48.12,48.18,3.81,3.27,2.45
1500,48.18,48.14,3.96,3.01,2.44
1600,48.11,48.13,5.53,4.84,3.29
1600,48.09,48.16,5.56,4.69,3.30
1600,48.11,48.12,5.56,4.80,3.33
1600,48.10,48.16,5.90,4.65,3.31
1700,48.00,48.05,8.36,7.18,4.27
1700,48.01,48.03,8.45,6.82,4.30
1700,48.00,48.06,8.50,7.16,4.38
1700,48.02,48.06,8.41,7.05,4.39
1800,47.86,47.96,12.14,9.12,5.31
1800,47.86,47.97,11.25,9.24,5.32
1800,47.91,48.01,11.94,9.27,5.24
1800,47.89,47.95,12.45,9.39,5.26
