Time: Tue Dec 13 08:18:46 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.26,48.26,0.20,0.17,0.00
1100,48.25,48.29,0.21,0.19,-0.00
1100,48.25,48.26,0.21,0.16,-0.00
1100,48.27,48.22,0.22,0.17,0.00
1100,48.25,48.26,0.22,0.16,0.00
1200,48.24,48.24,0.66,0.45,0.35
1200,48.22,48.24,0.61,0.42,0.35
1200,48.27,48.24,0.59,0.41,0.35
1200,48.25,48.22,0.62,0.44,0.35
1200,48.24,48.24,0.60,0.39,0.35
1300,48.19,48.24,1.13,0.86,0.83
1300,48.26,48.19,1.11,0.85,0.82
1300,48.20,48.19,1.11,0.85,0.82
1300,48.27,48.21,1.11,0.85,0.82
1300,48.24,48.24,1.09,0.88,0.82
1400,48.21,48.20,2.12,1.45,1.45
1400,48.19,48.23,2.10,1.41,1.45
1400,48.18,48.25,2.15,1.41,1.45
1400,48.21,48.20,2.11,1.40,1.44
1400,48.19,48.20,2.11,1.40,1.45
1500,48.16,48.16,3.77,2.54,2.28
1500,48.27,48.14,4.03,2.67,2.30
1500,48.15,48.17,3.75,2.50,2.26
1500,48.09,48.18,3.68,2.61,2.28
1500,48.16,48.14,3.89,2.56,2.28
1600,48.03,48.03,5.64,4.06,3.19
1600,48.00,48.07,5.76,3.94,3.18
1600,48.03,48.11,5.92,3.86,3.17
1600,48.06,48.10,5.61,3.84,3.12
1600,48.05,48.06,5.76,3.83,3.12
1700,48.01,48.06,8.48,5.49,4.13
1700,47.96,48.00,8.22,5.86,4.11
1700,48.00,48.01,8.43,5.69,4.16
1700,48.01,48.01,8.43,5.40,4.13
1700,47.90,47.98,8.46,5.31,4.13
1800,47.85,47.94,11.57,7.72,5.15
1800,47.89,47.97,11.81,7.60,5.14
1800,47.87,47.83,12.43,7.57,5.12
1800,47.85,47.95,12.55,7.45,5.12
1800,47.78,47.98,12.31,7.46,5.07
