Time: Mon Dec 12 13:31:57 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.28,48.23,0.24,0.21,0.00
1100,48.32,48.31,0.25,0.22,0.00
1100,48.24,48.29,0.25,0.21,0.00
1100,48.32,48.25,0.26,0.22,-0.00
1200,48.21,48.25,0.84,0.54,0.43
1200,48.28,48.26,0.62,0.55,0.43
1200,48.25,48.26,0.62,0.53,0.41
1200,48.22,48.29,0.61,0.57,0.42
1300,48.22,48.28,1.15,1.06,0.96
1300,48.20,48.22,1.12,1.10,0.97
1300,48.16,48.30,1.11,1.10,0.97
1300,48.23,48.23,1.11,1.08,0.95
1400,48.23,48.25,2.12,1.97,1.70
1400,48.29,48.12,2.16,2.01,1.69
1400,48.16,48.21,2.15,2.01,1.66
1400,48.23,48.21,2.19,1.98,1.69
1500,48.21,48.16,3.79,3.49,2.57
1500,48.11,48.12,3.87,3.51,2.57
1500,48.20,48.18,3.89,3.47,2.58
1500,48.12,48.18,3.88,3.62,2.60
1600,48.15,48.09,5.77,5.42,3.52
1600,48.12,48.10,5.77,5.87,3.51
1600,48.09,48.09,5.90,5.75,3.52
1600,48.04,48.08,5.70,6.00,3.55
1700,47.99,48.00,8.90,7.81,4.53
1700,48.03,48.03,8.37,8.25,4.58
1700,47.95,48.05,8.53,7.81,4.56
1700,48.00,48.03,8.71,7.75,4.55
1800,47.87,47.91,11.88,10.77,5.68
1800,47.90,47.90,11.78,11.24,5.66
1800,47.91,47.92,11.80,10.88,5.66
1800,47.90,47.90,12.22,10.22,5.56
