Time: Thu Dec 22 14:22:09 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.38,48.39,0.22,0.29,-0.00
1000,48.37,48.46,0.22,0.30,-0.00
1000,48.32,48.40,0.21,0.31,-0.00
1000,48.37,48.42,0.23,0.31,-0.00
1000,48.37,48.38,0.21,0.31,-0.00
1100,48.40,48.39,0.49,0.52,0.30
1100,48.31,48.43,0.49,0.53,0.29
1100,48.32,48.41,0.47,0.50,0.27
1100,48.39,48.37,0.48,0.54,0.27
1100,48.32,48.39,0.46,0.51,0.28
1200,48.28,48.36,0.89,0.87,0.65
1200,48.35,48.40,0.89,0.89,0.66
1200,48.39,48.37,0.87,0.91,0.67
1200,48.36,48.36,0.89,0.88,0.66
1200,48.32,48.32,0.86,0.92,0.65
1300,48.35,48.37,1.48,1.37,1.13
1300,48.36,48.36,1.46,1.40,1.12
1300,48.31,48.37,1.39,1.48,1.13
1300,48.31,48.39,1.38,1.45,1.10
1300,48.37,48.34,1.43,1.39,1.10
1400,48.36,48.32,2.67,2.38,1.85
1400,48.31,48.36,2.56,2.43,1.87
1400,48.31,48.29,2.49,2.46,1.82
1400,48.28,48.38,2.49,2.42,1.80
1400,48.28,48.32,2.56,2.44,1.85
1500,48.27,48.35,4.01,3.58,2.55
1500,48.28,48.28,3.88,3.55,2.55
1500,48.43,48.23,4.06,3.65,2.56
1500,48.27,48.29,3.92,3.51,2.57
1500,48.30,48.27,3.90,3.63,2.52
1600,48.20,48.26,5.52,4.98,3.15
1600,48.26,48.24,5.76,5.03,3.17
1600,48.24,48.29,5.47,4.88,3.20
1600,48.20,48.27,5.27,4.97,3.22
1600,48.22,48.28,5.34,4.94,3.19
1700,48.17,48.20,7.17,6.48,4.07
1700,48.13,48.23,7.51,6.45,4.00
1700,48.20,48.20,7.51,6.58,4.05
1700,48.19,48.19,7.39,6.76,4.03
1700,48.19,48.19,7.41,6.65,4.03
1800,48.10,48.10,9.83,8.80,4.96
1800,48.08,48.11,9.64,8.72,4.96
1800,48.14,48.16,9.79,8.80,4.97
1800,48.08,48.16,9.67,8.93,4.92
1800,48.08,48.10,9.76,8.57,4.89
