Time: Thu Dec 22 15:01:16 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.38,48.38,0.25,0.33,0.00
1000,48.41,48.40,0.22,0.31,0.00
1000,48.38,48.39,0.22,0.28,0.00
1000,48.36,48.35,0.20,0.30,0.00
1000,48.35,48.40,0.24,0.28,0.00
1100,48.32,48.39,0.48,0.44,0.20
1100,48.40,48.39,0.46,0.46,0.20
1100,48.35,48.30,0.48,0.45,0.20
1100,48.40,48.39,0.46,0.39,0.20
1100,48.33,48.42,0.46,0.44,0.22
1200,48.37,48.37,0.88,0.50,0.47
1200,48.34,48.41,0.87,0.53,0.47
1200,48.37,48.40,0.83,0.58,0.49
1200,48.38,48.39,0.90,0.56,0.47
1200,48.35,48.35,0.85,0.53,0.47
1300,48.37,48.40,1.46,0.71,0.79
1300,48.34,48.41,1.41,0.70,0.78
1300,48.32,48.37,1.50,0.65,0.78
1300,48.39,48.38,1.42,0.72,0.79
1300,48.33,48.40,1.43,0.66,0.77
1400,48.29,48.40,2.49,0.98,1.24
1400,48.32,48.40,2.44,0.98,1.22
1400,48.30,48.42,2.52,0.93,1.24
1400,48.26,48.38,2.50,0.93,1.24
1400,48.29,48.33,2.60,0.91,1.25
1500,48.32,48.31,3.78,1.24,1.74
1500,48.27,48.39,4.08,1.15,1.74
1500,48.29,48.35,3.82,1.26,1.73
1500,48.26,48.31,3.80,1.11,1.75
1500,48.33,48.36,3.68,1.24,1.74
1600,48.22,48.30,5.30,1.54,2.14
1600,48.25,48.26,5.02,1.60,2.13
1600,48.24,48.27,5.25,1.57,2.17
1600,48.24,48.27,5.48,1.41,2.20
1600,48.22,48.37,5.24,1.51,2.18
1700,48.23,48.33,7.42,1.83,2.70
1700,48.24,48.27,7.39,1.91,2.71
1700,48.21,48.30,7.36,1.93,2.71
1700,48.22,48.29,7.44,1.88,2.69
1700,48.19,48.35,7.65,1.75,2.71
1800,48.11,48.24,9.88,2.46,3.35
1800,48.13,48.18,9.92,2.57,3.37
1800,48.13,48.25,10.06,2.12,3.38
1800,48.16,48.25,10.03,2.42,3.39
1800,48.11,48.20,10.19,2.22,3.40
