Time: Thu Dec 22 14:35:10 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.35,48.39,0.21,0.29,-0.00
1000,48.39,48.40,0.22,0.32,-0.00
1000,48.27,48.42,0.24,0.29,-0.00
1000,48.37,48.42,0.23,0.29,0.00
1000,48.41,48.41,0.23,0.31,-0.00
1100,48.29,48.39,0.48,0.52,0.27
1100,48.42,48.42,0.45,0.50,0.27
1100,48.38,48.41,0.47,0.52,0.27
1100,48.35,48.40,0.46,0.51,0.28
1100,48.39,48.33,0.48,0.54,0.29
1200,48.36,48.45,0.88,0.90,0.65
1200,48.33,48.40,0.87,0.90,0.64
1200,48.41,48.37,0.86,0.88,0.62
1200,48.35,48.44,0.84,0.90,0.65
1200,48.34,48.39,0.85,0.88,0.66
1300,48.35,48.41,1.43,1.39,1.11
1300,48.33,48.38,1.45,1.39,1.08
1300,48.31,48.28,1.43,1.38,1.06
1300,48.36,48.26,1.41,1.40,1.03
1300,48.39,48.38,1.49,1.41,1.06
1400,48.32,48.35,2.57,2.49,1.84
1400,48.34,48.29,2.55,2.55,1.86
1400,48.34,48.32,2.53,2.46,1.89
1400,48.33,48.33,2.56,2.47,1.94
1400,48.25,48.37,2.61,2.48,1.87
1500,48.28,48.29,4.10,3.78,2.54
1500,48.29,48.33,3.84,3.75,2.52
1500,48.27,48.28,3.82,3.63,2.48
1500,48.22,48.33,4.03,3.63,2.49
1500,48.32,48.35,3.99,3.69,2.51
1600,48.17,48.27,5.47,5.20,3.23
1600,48.21,48.29,5.34,5.27,3.24
1600,48.22,48.20,5.33,5.21,3.18
1600,48.26,48.29,5.23,4.90,3.11
1600,48.20,48.29,5.35,5.01,3.13
1700,48.18,48.19,7.38,7.07,4.02
1700,48.12,48.21,7.36,7.18,4.02
1700,48.16,48.14,7.39,6.96,4.02
1700,48.17,48.21,7.40,7.17,4.01
1700,48.18,48.15,7.29,7.05,3.99
1800,48.07,48.17,9.90,9.11,4.83
1800,48.03,48.07,9.70,9.34,4.91
1800,48.06,48.16,9.37,9.73,4.88
1800,48.08,48.16,9.57,9.41,4.91
1800,48.03,48.11,9.64,9.16,4.87
