Time: Fri Dec 23 08:30:01 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.36,48.33,0.20,0.26,0.00
1000,48.31,48.33,0.18,0.27,0.00
1000,48.38,48.35,0.20,0.24,0.00
1000,48.33,48.37,0.17,0.24,0.00
1000,48.36,48.32,0.19,0.24,0.00
1100,48.34,48.37,0.44,0.45,0.30
1100,48.31,48.33,0.44,0.53,0.31
1100,48.32,48.37,0.48,0.49,0.31
1100,48.34,48.36,0.43,0.48,0.30
1100,48.35,48.32,0.45,0.46,0.30
1200,48.32,48.35,0.83,0.85,0.68
1200,48.36,48.35,0.81,0.85,0.68
1200,48.31,48.35,0.84,0.83,0.67
1200,48.34,48.34,0.88,0.86,0.67
1200,48.32,48.33,0.80,0.85,0.67
1300,48.32,48.36,1.39,1.37,1.14
1300,48.31,48.29,1.42,1.36,1.13
1300,48.30,48.32,1.44,1.36,1.15
1300,48.34,48.34,1.48,1.37,1.15
1300,48.34,48.37,1.41,1.35,1.15
1400,48.25,48.29,2.59,2.41,1.92
1400,48.23,48.33,2.58,2.41,1.89
1400,48.30,48.28,2.53,2.42,1.89
1400,48.27,48.31,2.53,2.52,1.88
1400,48.26,48.25,2.55,2.41,1.89
1500,48.22,48.27,3.99,3.83,2.62
1500,48.27,48.28,3.78,3.67,2.61
1500,48.21,48.30,3.71,3.68,2.61
1500,48.24,48.22,4.01,3.68,2.61
1500,48.26,48.22,4.08,3.67,2.60
1600,48.18,48.19,5.17,4.90,3.18
1600,48.17,48.25,5.96,4.77,3.14
1600,48.22,48.24,5.87,4.89,3.18
1600,48.21,48.14,5.83,4.82,3.16
1600,48.18,48.19,5.33,4.89,3.18
1700,48.13,48.16,7.50,6.91,4.07
1700,48.12,48.20,7.65,7.03,4.09
1700,48.16,48.13,7.49,7.09,4.10
1700,48.17,48.18,7.35,6.94,4.07
1700,48.19,48.11,7.36,7.16,4.04
1800,48.06,48.05,9.83,9.44,4.93
1800,48.07,48.07,9.74,9.49,4.97
1800,48.09,48.04,9.75,9.43,4.97
1800,48.02,48.05,9.74,9.37,4.97
1800,48.07,48.07,9.81,9.44,4.97
