Time: Thu Dec 22 15:35:50 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.40,48.41,0.23,0.28,-0.00
1000,48.39,48.37,0.22,0.29,-0.00
1000,48.39,48.39,0.23,0.28,0.00
1000,48.39,48.43,0.24,0.31,-0.00
1000,48.41,48.38,0.22,0.29,-0.00
1100,48.37,48.42,0.45,0.52,0.25
1100,48.43,48.44,0.46,0.52,0.24
1100,48.39,48.45,0.45,0.52,0.25
1100,48.37,48.42,0.43,0.48,0.26
1100,48.38,48.42,0.45,0.54,0.26
1200,48.32,48.42,0.68,0.88,0.58
1200,48.39,48.46,0.67,0.92,0.57
1200,48.41,48.43,0.67,0.87,0.58
1200,48.34,48.36,0.66,0.89,0.58
1200,48.36,48.41,0.69,0.90,0.60
1300,48.35,48.41,1.07,1.37,1.00
1300,48.39,48.40,1.02,1.40,0.99
1300,48.32,48.42,0.98,1.45,0.97
1300,48.35,48.41,1.07,1.41,0.98
1300,48.35,48.41,1.14,1.40,0.98
1400,48.34,48.37,1.68,2.38,1.55
1400,48.31,48.37,1.67,2.29,1.53
1400,48.32,48.38,1.70,2.42,1.56
1400,48.32,48.34,1.70,2.37,1.56
1400,48.36,48.42,1.67,2.43,1.54
1500,48.30,48.35,2.47,3.58,2.15
1500,48.32,48.32,2.45,3.56,2.17
1500,48.28,48.32,2.54,3.69,2.15
1500,48.29,48.31,2.50,3.61,2.15
1500,48.27,48.32,2.58,3.60,2.14
1600,48.28,48.34,3.40,4.92,2.71
1600,48.28,48.32,3.46,4.87,2.71
1600,48.29,48.27,3.60,4.89,2.76
1600,48.37,48.29,3.48,4.86,2.70
1600,48.31,48.30,3.50,4.78,2.70
1700,48.20,48.28,4.62,6.72,3.39
1700,48.22,48.30,4.65,6.62,3.48
1700,48.25,48.28,4.81,6.62,3.43
1700,48.25,48.23,4.61,6.75,3.40
1700,48.22,48.30,4.64,6.59,3.35
1800,48.20,48.17,5.94,8.82,4.12
1800,48.15,48.19,6.22,8.64,4.12
1800,48.13,48.26,6.23,8.69,4.10
1800,48.17,48.19,6.14,8.88,4.08
1800,48.17,48.18,6.35,8.74,4.09
