Time: Tue Dec 20 15:18:35 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.33,48.35,0.22,0.23,0.00
1000,48.33,48.28,0.24,0.24,0.00
1000,48.32,48.31,0.23,0.25,0.01
1000,48.24,48.35,0.23,0.26,0.00
1000,48.33,48.33,0.24,0.25,0.01
1100,48.30,48.30,0.45,0.66,0.33
1100,48.31,48.28,0.43,0.67,0.34
1100,48.32,48.29,0.48,0.66,0.34
1100,48.24,48.33,0.44,0.65,0.33
1100,48.27,48.29,0.44,0.65,0.33
1200,48.23,48.28,0.60,1.16,0.69
1200,48.29,48.31,0.68,1.13,0.66
1200,48.29,48.25,0.74,1.14,0.66
1200,48.30,48.29,0.65,1.17,0.66
1200,48.27,48.31,0.68,1.17,0.67
1300,48.25,48.27,1.15,2.14,1.20
1300,48.28,48.29,1.11,2.20,1.21
1300,48.28,48.25,1.09,2.08,1.21
1300,48.21,48.30,1.09,2.11,1.21
1300,48.25,48.29,1.11,2.16,1.22
1400,48.25,48.10,1.83,3.45,1.78
1400,48.24,48.30,1.73,3.36,1.79
1400,48.23,48.23,1.66,3.42,1.80
1400,48.22,48.23,1.73,3.43,1.77
1400,48.23,48.24,1.67,3.54,1.82
1500,48.17,48.18,2.63,5.45,2.51
1500,48.19,48.19,2.73,5.35,2.55
1500,48.20,48.23,2.70,5.40,2.54
1500,48.15,48.19,2.77,5.26,2.51
1500,48.12,48.22,2.74,5.21,2.53
1600,48.17,48.09,3.76,7.91,3.28
1600,48.13,48.14,4.02,7.85,3.29
1600,48.17,48.15,3.89,7.71,3.28
1600,48.14,48.16,3.84,8.08,3.30
1600,48.15,48.11,3.75,8.08,3.28
1700,48.07,48.06,5.06,10.96,4.00
1700,48.04,48.07,5.21,10.59,4.07
1700,48.13,48.04,5.11,10.24,4.01
1700,48.07,47.98,5.13,10.60,4.06
1700,48.10,48.07,4.94,10.52,4.04
1800,48.03,47.97,6.60,14.24,4.99
1800,48.07,48.02,6.58,14.06,4.87
1800,48.05,47.97,6.55,14.16,4.88
1800,48.06,47.99,6.83,14.01,4.85
1800,47.98,48.01,6.69,14.21,4.83
