Time: Tue Dec 20 15:30:01 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.27,48.27,0.25,0.24,-0.00
1000,48.29,48.29,0.24,0.23,0.00
1000,48.27,48.32,0.22,0.23,0.00
1000,48.32,48.27,0.23,0.21,-0.00
1000,48.28,48.31,0.22,0.23,-0.00
1100,48.22,48.34,0.47,0.56,0.23
1100,48.30,48.28,0.44,0.56,0.23
1100,48.27,48.28,0.42,0.57,0.24
1100,48.25,48.29,0.46,0.55,0.23
1100,48.32,48.27,0.42,0.59,0.23
1200,48.28,48.29,0.67,0.89,0.53
1200,48.19,48.27,0.70,0.88,0.51
1200,48.22,48.27,0.75,0.85,0.52
1200,48.27,48.28,0.63,0.91,0.52
1200,48.29,48.28,0.83,0.94,0.51
1300,48.22,48.24,1.18,1.42,0.93
1300,48.21,48.21,1.11,1.50,0.91
1300,48.23,48.25,1.14,1.48,0.92
1300,48.24,48.27,1.14,1.46,0.92
1300,48.23,48.26,1.14,1.46,0.91
1400,48.27,48.26,1.74,2.22,1.37
1400,48.27,48.25,1.79,2.14,1.37
1400,48.23,48.26,1.76,2.18,1.35
1400,48.24,48.26,1.76,2.12,1.35
1400,48.21,48.24,1.68,2.24,1.37
1500,48.17,48.20,2.88,3.10,1.94
1500,48.20,48.19,2.81,3.15,1.95
1500,48.18,48.26,2.66,3.11,1.92
1500,48.23,48.21,2.75,3.11,1.95
1500,48.20,48.21,2.93,3.14,1.92
1600,48.16,48.12,3.81,4.45,2.44
1600,48.16,48.15,3.92,4.39,2.46
1600,48.13,48.15,3.76,4.55,2.41
1600,48.17,48.14,3.84,4.42,2.43
1600,48.20,48.18,3.93,4.33,2.45
1700,48.11,48.19,5.04,6.18,3.13
1700,48.11,48.15,5.40,5.93,3.08
1700,48.09,48.16,5.16,5.97,3.06
1700,48.15,48.07,5.01,6.03,3.06
1700,48.10,48.14,5.10,6.18,3.07
1800,48.09,48.07,6.81,8.03,3.80
1800,48.10,48.05,6.90,7.82,3.84
1800,48.06,48.11,6.88,7.83,3.79
1800,48.07,48.07,6.72,8.06,3.82
1800,48.05,48.07,6.85,7.89,3.79
