Time: Tue Dec 20 15:56:13 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.29,48.28,0.24,0.24,-0.00
1000,48.29,48.31,0.22,0.26,0.00
1000,48.23,48.32,0.23,0.27,-0.00
1000,48.31,48.21,0.22,0.23,-0.00
1000,48.25,48.23,0.24,0.24,-0.00
1100,48.29,48.28,0.43,0.61,0.26
1100,48.25,48.28,0.43,0.63,0.28
1100,48.29,48.28,0.42,0.58,0.27
1100,48.25,48.28,0.45,0.62,0.27
1100,48.26,48.27,0.43,0.60,0.26
1200,48.27,48.30,0.70,1.03,0.59
1200,48.22,48.30,0.72,1.02,0.61
1200,48.18,48.29,0.70,1.04,0.62
1200,48.23,48.29,0.72,1.06,0.60
1200,48.26,48.27,0.73,1.05,0.62
1300,48.22,48.18,1.12,1.78,1.07
1300,48.21,48.27,1.11,1.87,1.06
1300,48.25,48.24,1.16,1.84,1.05
1300,48.25,48.29,1.09,1.83,1.04
1300,48.19,48.26,1.11,1.86,1.08
1400,48.24,48.22,1.74,2.87,1.60
1400,48.22,48.24,1.71,2.87,1.58
1400,48.21,48.23,1.70,3.00,1.59
1400,48.24,48.23,1.63,2.79,1.59
1400,48.24,48.22,1.57,3.07,1.52
1500,48.14,48.14,2.72,4.25,2.24
1500,48.22,48.19,2.62,4.33,2.24
1500,48.14,48.18,2.60,4.22,2.26
1500,48.13,48.17,2.63,4.23,2.25
1500,48.12,48.18,2.63,4.34,2.27
1600,48.12,48.17,3.92,6.79,3.02
1600,48.16,48.13,3.84,6.24,3.01
1600,48.15,48.12,3.71,6.53,2.99
1600,48.12,48.15,3.69,6.42,2.90
1600,48.15,48.16,3.73,6.66,2.93
1700,48.13,48.07,5.01,8.48,3.66
1700,48.11,48.10,4.91,8.63,3.66
1700,48.04,48.12,4.71,8.67,3.64
1700,48.09,48.09,5.05,8.41,3.60
1700,48.09,48.08,5.20,8.55,3.55
1800,48.01,48.01,6.67,11.39,4.49
1800,48.08,48.03,6.46,11.35,4.41
1800,48.03,47.99,6.48,11.55,4.45
1800,48.06,48.00,6.38,11.48,4.42
1800,48.07,48.01,6.61,11.22,4.49
