Time: Tue Dec 20 15:41:33 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.31,48.33,0.25,0.26,0.00
1000,48.28,48.28,0.24,0.25,0.00
1000,48.28,48.31,0.22,0.24,0.00
1000,48.26,48.31,0.23,0.22,0.00
1000,48.30,48.26,0.24,0.22,0.00
1100,48.25,48.26,0.42,0.57,0.23
1100,48.28,48.30,0.42,0.57,0.23
1100,48.25,48.32,0.43,0.55,0.21
1100,48.25,48.28,0.43,0.56,0.22
1100,48.28,48.26,0.41,0.55,0.23
1200,48.29,48.25,0.74,0.86,0.52
1200,48.27,48.24,0.71,0.85,0.49
1200,48.22,48.26,0.66,0.89,0.50
1200,48.29,48.29,0.79,0.81,0.50
1200,48.28,48.30,0.76,0.84,0.50
1300,48.23,48.27,1.13,1.44,0.90
1300,48.31,48.25,1.11,1.45,0.90
1300,48.24,48.21,1.10,1.54,0.91
1300,48.28,48.23,1.04,1.52,0.90
1300,48.27,48.22,1.06,1.48,0.88
1400,48.26,48.18,1.75,2.15,1.34
1400,48.24,48.28,1.71,2.18,1.34
1400,48.26,48.24,1.75,2.17,1.32
1400,48.25,48.26,1.64,2.29,1.33
1400,48.27,48.31,1.64,2.20,1.36
1500,48.20,48.24,2.62,3.22,1.89
1500,48.21,48.20,2.66,3.10,1.87
1500,48.18,48.23,2.74,3.10,1.90
1500,48.18,48.18,2.85,3.03,1.88
1500,48.22,48.22,2.78,3.09,1.89
1600,48.15,48.21,3.89,4.35,2.49
1600,48.18,48.18,3.86,4.39,2.44
1600,48.11,48.18,3.78,4.38,2.46
1600,48.19,48.21,3.92,4.10,2.45
1600,48.35,48.07,4.10,4.33,2.45
1700,48.13,48.14,5.17,6.01,3.07
1700,48.13,48.09,5.05,5.78,3.06
1700,48.13,48.18,5.07,5.71,3.08
1700,48.13,48.16,5.36,5.70,3.11
1700,48.13,48.13,5.07,5.89,3.10
1800,48.06,48.11,6.69,7.89,3.80
1800,48.03,48.07,6.58,8.04,3.80
1800,48.07,48.09,6.70,8.03,3.77
1800,48.07,48.10,6.70,7.98,3.73
1800,48.07,48.11,6.63,8.25,3.71
