Time: Tue Dec 20 16:09:31 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.27,48.28,0.21,0.26,-0.00
1000,48.30,48.28,0.21,0.27,-0.00
1000,48.30,48.33,0.22,0.23,0.00
1000,48.31,48.33,0.24,0.27,-0.00
1000,48.28,48.30,0.23,0.24,-0.00
1100,48.31,48.30,0.46,0.61,0.29
1100,48.19,48.29,0.46,0.61,0.29
1100,48.29,48.30,0.45,0.60,0.29
1100,48.24,48.27,0.47,0.60,0.27
1100,48.18,48.30,0.46,0.59,0.29
1200,48.23,48.23,0.75,1.04,0.63
1200,48.25,48.31,0.82,1.03,0.63
1200,48.23,48.27,0.69,1.08,0.62
1200,48.28,48.27,0.74,1.03,0.62
1200,48.21,48.24,0.79,1.05,0.64
1300,48.22,48.29,1.26,1.88,1.10
1300,48.28,48.26,1.27,1.85,1.13
1300,48.25,48.21,1.21,1.88,1.11
1300,48.25,48.27,1.21,1.89,1.13
1300,48.27,48.21,1.20,1.78,1.10
1400,48.22,48.22,1.95,2.88,1.68
1400,48.27,48.25,1.98,2.81,1.67
1400,48.22,48.22,1.93,2.84,1.62
1400,48.20,48.25,1.95,2.85,1.65
1400,48.19,48.24,1.99,2.86,1.62
1500,48.20,48.15,3.21,4.29,2.29
1500,48.12,48.17,3.05,4.30,2.33
1500,48.19,48.19,3.10,4.14,2.29
1500,48.14,48.20,3.03,4.20,2.30
1500,48.35,48.06,3.36,4.15,2.30
1600,48.14,48.10,4.29,6.29,2.98
1600,48.11,48.16,4.57,6.07,3.00
1600,48.12,48.11,4.33,5.99,2.99
1600,48.13,48.18,4.23,6.37,3.04
1600,48.03,48.13,4.45,6.06,3.06
1700,48.10,48.04,5.98,8.18,3.78
1700,48.04,48.08,5.75,8.11,3.72
1700,48.08,48.09,6.21,7.87,3.68
1700,48.04,48.06,5.64,8.53,3.69
1700,48.06,48.12,5.65,8.10,3.61
1800,48.03,47.96,7.48,11.19,4.44
1800,48.01,48.01,7.60,10.99,4.54
1800,48.03,47.99,7.95,11.36,4.61
1800,48.09,48.01,7.47,11.43,4.51
1800,47.97,48.06,7.43,11.16,4.56
