Time: Thu Dec 22 12:46:25 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.37,48.43,0.21,0.28,0.00
1000,48.29,48.39,0.21,0.25,0.00
1000,48.32,48.43,0.23,0.26,0.00
1000,48.37,48.38,0.22,0.27,0.00
1000,48.34,48.37,0.21,0.26,0.00
1100,48.34,48.37,0.48,0.25,0.20
1100,48.38,48.45,0.46,0.27,0.19
1100,48.33,48.40,0.46,0.25,0.18
1100,48.39,48.40,0.47,0.27,0.18
1100,48.35,48.44,0.45,0.27,0.18
1200,48.37,48.39,0.88,0.26,0.44
1200,48.34,48.42,0.88,0.23,0.45
1200,48.38,48.42,0.88,0.25,0.44
1200,48.36,48.41,0.87,0.25,0.44
1200,48.39,48.39,0.88,0.26,0.44
1300,48.37,48.29,1.45,0.25,0.73
1300,48.32,48.40,1.43,0.25,0.72
1300,48.34,48.40,1.44,0.25,0.72
1300,48.33,48.42,1.47,0.24,0.74
1300,48.32,48.40,1.44,0.26,0.74
1400,48.35,48.37,2.64,0.24,1.23
1400,48.34,48.40,2.59,0.24,1.23
1400,48.30,48.39,2.68,0.23,1.21
1400,48.35,48.39,2.60,0.26,1.20
1400,48.36,48.40,2.65,0.25,1.19
1500,48.30,48.36,3.97,0.23,1.62
1500,48.31,48.37,4.19,0.22,1.66
1500,48.29,48.40,4.07,0.23,1.65
1500,48.47,48.24,4.27,0.23,1.67
1500,48.27,48.36,3.95,0.24,1.70
1600,48.22,48.35,5.27,0.19,1.98
1600,48.23,48.36,5.56,0.21,2.06
1600,48.25,48.26,5.54,0.21,2.04
1600,48.21,48.37,5.39,0.22,2.04
1600,48.21,48.36,5.42,0.22,2.02
1700,48.23,48.28,7.51,0.19,2.51
1700,48.15,48.27,7.48,0.20,2.52
1700,48.18,48.30,7.48,0.21,2.55
1700,48.17,48.29,7.37,0.20,2.56
1700,48.20,48.27,7.49,0.21,2.54
