Time: Thu Dec 22 13:07:22 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.41,48.42,0.23,0.28,-0.00
1000,48.36,48.42,0.22,0.27,0.00
1000,48.40,48.41,0.20,0.26,0.01
1000,48.39,48.43,0.21,0.26,0.01
1000,48.39,48.37,0.24,0.25,0.00
1100,48.36,48.38,0.46,0.25,0.19
1100,48.34,48.42,0.52,0.29,0.17
1100,48.33,48.42,0.47,0.25,0.18
1100,48.37,48.39,0.47,0.27,0.18
1100,48.37,48.37,0.48,0.25,0.18
1200,48.36,48.37,0.88,0.26,0.41
1200,48.37,48.37,0.86,0.24,0.43
1200,48.39,48.42,0.86,0.27,0.42
1200,48.35,48.38,0.88,0.25,0.41
1200,48.34,48.37,0.86,0.27,0.43
1300,48.36,48.34,1.41,0.26,0.68
1300,48.33,48.41,1.45,0.23,0.67
1300,48.31,48.37,1.38,0.26,0.68
1300,48.30,48.39,1.39,0.26,0.67
1300,48.33,48.43,1.41,0.24,0.70
1400,48.31,48.38,2.61,0.23,1.15
1400,48.30,48.37,2.46,0.24,1.05
1400,48.30,48.36,2.48,0.26,1.11
1400,48.36,48.36,2.53,0.25,1.11
1400,48.27,48.38,2.46,0.23,1.08
1500,48.29,48.37,3.88,0.23,1.47
1500,48.29,48.34,3.75,0.24,1.56
1500,48.28,48.40,3.89,0.24,1.53
1500,48.28,48.37,3.73,0.24,1.51
1500,48.28,48.33,3.88,0.23,1.53
1600,48.28,48.37,5.26,0.22,1.95
1600,48.25,48.28,5.27,0.24,1.93
1600,48.24,48.34,5.17,0.22,1.88
1600,48.21,48.33,5.11,0.22,1.93
1600,48.22,48.33,5.49,0.22,1.95
1700,48.18,48.32,7.07,0.20,2.40
1700,48.17,48.32,7.27,0.21,2.46
1700,48.17,48.27,7.61,0.20,2.43
1700,48.20,48.30,7.26,0.22,2.45
1700,48.20,48.28,7.17,0.21,2.36
