Time: Thu Dec 15 09:53:10 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.25,48.35,0.25,0.28,0.00
1000,48.34,48.39,0.25,0.27,0.00
1000,48.30,48.42,0.25,0.28,0.00
1000,48.29,48.38,0.24,0.28,0.00
1000,48.30,48.36,0.26,0.31,-0.00
1100,48.22,48.36,0.80,0.74,0.32
1100,48.33,48.35,0.55,0.67,0.33
1100,48.28,48.29,0.57,0.66,0.33
1100,48.29,48.40,0.56,0.69,0.33
1100,48.27,48.34,0.55,0.66,0.33
1200,48.27,48.42,0.97,1.08,0.70
1200,48.32,48.32,0.99,1.10,0.70
1200,48.27,48.36,0.95,1.11,0.68
1200,48.26,48.34,0.97,1.12,0.69
1200,48.32,48.34,0.97,1.16,0.71
1300,48.22,48.34,1.54,1.91,1.21
1300,48.23,48.32,1.52,1.90,1.19
1300,48.18,48.34,1.55,1.93,1.18
1300,48.28,48.30,1.57,1.98,1.20
1300,48.31,48.34,1.46,2.02,1.20
1400,48.23,48.33,2.71,3.05,1.84
1400,48.25,48.27,2.78,2.91,1.83
1400,48.21,48.28,2.79,2.86,1.84
1400,48.13,48.32,2.75,3.08,1.86
1400,48.22,48.29,2.69,2.94,1.86
1500,48.11,48.24,4.02,4.28,2.50
1500,48.19,48.27,4.06,4.29,2.50
1500,48.15,48.24,4.03,4.31,2.49
1500,48.20,48.24,4.09,4.34,2.49
1500,48.14,48.20,4.10,4.34,2.50
1600,48.10,48.20,5.67,6.10,3.29
1600,48.13,48.20,5.61,6.25,3.30
1600,48.11,48.21,5.70,6.28,3.29
1600,48.11,48.24,5.65,6.44,3.31
1600,48.11,48.20,5.61,6.37,3.28
1700,48.08,48.12,7.84,8.38,4.13
1700,47.98,48.17,7.75,8.64,4.09
1700,48.06,48.11,7.83,8.23,4.05
1700,48.10,48.15,7.68,8.24,4.01
1700,48.02,48.19,7.82,8.07,4.03
1800,48.01,48.07,10.21,10.85,4.98
1800,47.93,48.04,10.31,10.45,4.98
1800,48.00,48.07,9.84,10.83,5.04
1800,47.94,48.07,9.92,10.77,4.94
1800,47.98,48.01,10.08,11.04,4.87
