Time: Wed Dec 14 14:31:00 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,47.68,47.71,0.26,0.26,-0.00
1000,47.69,47.72,0.29,0.28,-0.00
1000,47.71,47.71,0.28,0.26,-0.00
1000,47.69,47.72,0.30,0.24,-0.00
1000,47.65,47.71,0.26,0.27,-0.00
1100,47.50,47.55,0.66,0.68,0.30
1100,47.55,47.62,0.60,0.60,0.32
1100,47.51,47.60,0.58,0.65,0.31
1100,47.59,47.61,0.56,0.62,0.31
1100,47.54,47.63,0.57,0.60,0.31
1200,47.40,47.46,0.99,1.09,0.64
1200,47.41,47.45,0.96,1.03,0.65
1200,47.40,47.49,0.94,1.11,0.65
1200,47.38,47.48,0.94,1.09,0.64
1200,47.41,47.46,0.95,1.09,0.64
1300,47.11,47.20,1.53,1.88,1.14
1300,47.15,47.16,1.50,1.83,1.13
1300,47.09,47.15,1.53,1.81,1.12
1300,47.06,47.16,1.50,1.87,1.15
1300,47.08,47.19,1.47,1.86,1.13
1400,46.74,46.77,2.64,2.63,1.71
1400,46.76,46.84,2.60,2.64,1.72
1400,46.76,46.78,2.66,2.70,1.72
1400,46.69,46.78,2.64,2.75,1.69
1400,46.63,46.72,2.64,2.71,1.73
1500,46.25,46.29,3.88,4.02,2.31
1500,46.24,46.33,3.91,3.93,2.29
1500,46.24,46.25,3.93,4.01,2.27
1500,46.17,46.17,3.78,3.90,2.27
1500,46.21,46.20,3.83,3.97,2.34
1600,45.64,45.67,5.20,5.93,2.97
1600,45.58,45.64,5.36,5.64,3.01
1600,45.55,45.53,5.40,5.57,2.95
1600,45.55,45.57,5.37,5.51,2.92
1600,45.47,45.58,5.40,5.57,2.92
1700,44.94,44.96,6.85,7.48,3.51
1700,44.97,44.97,6.93,7.31,3.54
1700,44.91,44.90,6.79,7.28,3.52
1700,44.86,44.91,6.77,7.60,3.50
1700,44.83,44.84,7.14,7.27,3.54
1800,44.11,44.15,8.57,9.72,4.24
1800,44.03,44.07,8.56,9.57,4.21
1800,43.99,44.02,8.70,9.82,4.19
1800,43.93,43.94,8.41,9.74,4.16
1800,43.94,44.01,8.57,9.60,4.26
1900,43.21,43.30,11.07,12.07,4.89
1900,43.15,43.23,11.03,11.98,4.87
1900,43.12,43.18,10.80,12.34,4.76
