Time: Tue Dec 13 13:43:27 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.32,48.30,0.24,0.24,0.00
1100,48.33,48.34,0.25,0.22,0.00
1100,48.28,48.28,0.24,0.21,0.00
1100,48.30,48.27,0.25,0.24,0.00
1100,48.28,48.34,0.26,0.23,-0.00
1200,48.29,48.30,0.25,0.47,0.14
1200,48.28,48.29,0.24,0.45,0.14
1200,48.27,48.28,0.27,0.43,0.14
1200,48.31,48.30,0.25,0.43,0.12
1200,48.29,48.33,0.25,0.43,0.13
1300,48.25,48.29,0.26,0.83,0.35
1300,48.30,48.34,0.24,0.81,0.36
1300,48.30,48.30,0.26,0.79,0.34
1300,48.28,48.26,0.26,0.82,0.36
1300,48.30,48.34,0.23,0.81,0.35
1400,48.25,48.26,0.24,1.38,0.62
1400,48.32,48.34,0.25,1.36,0.62
1400,48.25,48.30,0.25,1.30,0.61
1400,48.27,48.27,0.25,1.29,0.62
1400,48.30,48.27,0.24,1.38,0.64
1500,48.28,48.26,0.24,2.30,1.04
1500,48.19,48.29,0.23,2.45,1.06
1500,48.24,48.23,0.22,2.37,1.03
1500,48.24,48.20,0.26,2.33,1.04
1500,48.23,48.22,0.26,2.39,1.07
1600,48.21,48.19,0.24,3.76,1.57
1600,48.22,48.20,0.22,3.76,1.54
1600,48.22,48.23,0.25,3.78,1.51
1600,48.22,48.21,0.23,3.62,1.53
1600,48.21,48.17,0.23,3.79,1.53
1700,48.20,48.18,0.23,5.20,2.03
1700,48.21,48.22,0.24,5.08,1.87
1700,48.22,48.18,0.21,5.18,1.97
1700,48.21,48.21,0.23,5.21,2.02
1700,48.16,48.21,0.26,5.22,1.97
1800,48.15,48.14,0.20,7.01,2.40
1800,48.18,48.18,0.21,7.02,2.43
1800,48.19,48.14,0.21,7.13,2.47
1800,48.17,48.09,0.20,7.10,2.43
1800,48.22,48.17,0.20,7.15,2.45
