Time: Tue Dec 13 13:52:49 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.28,48.31,0.28,0.23,-0.00
1100,48.27,48.30,0.25,0.21,0.00
1100,48.30,48.30,0.25,0.23,-0.00
1100,48.28,48.30,0.26,0.24,0.00
1100,48.29,48.31,0.26,0.24,0.00
1200,48.32,48.32,0.26,0.47,0.14
1200,48.24,48.27,0.26,0.48,0.12
1200,48.32,48.32,0.27,0.45,0.14
1200,48.28,48.31,0.26,0.42,0.13
1200,48.33,48.27,0.28,0.46,0.12
1300,48.30,48.33,0.27,0.86,0.35
1300,48.29,48.26,0.25,0.85,0.36
1300,48.31,48.30,0.25,0.85,0.34
1300,48.29,48.32,0.27,0.80,0.36
1300,48.28,48.32,0.25,0.84,0.37
1400,48.25,48.28,0.25,1.36,0.63
1400,48.24,48.29,0.24,1.36,0.64
1400,48.28,48.28,0.27,1.38,0.63
1400,48.32,48.32,0.26,1.42,0.62
1400,48.27,48.28,0.24,1.38,0.63
1500,48.18,48.26,0.26,2.51,1.06
1500,48.25,48.27,0.25,2.46,1.01
1500,48.28,48.28,0.24,2.49,1.07
1500,48.29,48.28,0.23,2.43,1.04
1500,48.26,48.23,0.24,2.52,1.04
1600,48.12,48.25,0.24,3.81,1.50
1600,48.28,48.22,0.22,3.76,1.48
1600,48.27,48.23,0.24,3.81,1.45
1600,48.23,48.19,0.25,3.81,1.50
1600,48.21,48.19,0.23,3.79,1.49
1700,48.24,48.18,0.25,5.42,1.90
1700,48.20,48.16,0.24,5.49,1.98
1700,48.19,48.18,0.22,5.82,1.99
1700,48.20,48.17,0.22,5.43,1.93
1700,48.18,48.22,0.22,5.60,1.96
1800,48.19,48.09,0.20,7.61,2.43
1800,48.17,48.12,0.22,7.54,2.46
1800,48.19,48.12,0.25,7.49,2.46
1800,48.20,48.11,0.23,7.75,2.45
1800,48.17,48.15,0.21,7.71,2.46
