Time: Tue Dec 13 14:23:46 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.29,48.29,0.25,0.24,-0.00
1100,48.26,48.28,0.26,0.22,0.00
1100,48.34,48.32,0.25,0.24,0.00
1100,48.29,48.30,0.24,0.24,0.00
1100,48.32,48.32,0.24,0.23,0.00
1200,48.27,48.32,0.25,0.50,0.16
1200,48.29,48.37,0.26,0.49,0.17
1200,48.25,48.25,0.23,0.49,0.17
1200,48.25,48.29,0.26,0.48,0.16
1200,48.27,48.27,0.26,0.47,0.17
1300,48.30,48.31,0.24,0.90,0.41
1300,48.34,48.26,0.25,0.89,0.40
1300,48.28,48.29,0.26,0.88,0.41
1300,48.27,48.36,0.26,0.87,0.39
1300,48.28,48.30,0.26,0.93,0.42
1400,48.30,48.28,0.25,1.57,0.71
1400,48.30,48.27,0.23,1.45,0.71
1400,48.27,48.34,0.24,1.61,0.73
1400,48.20,48.29,0.26,1.52,0.73
1400,48.32,48.27,0.25,1.47,0.72
1500,48.28,48.25,0.26,2.70,1.20
1500,48.28,48.24,0.25,2.65,1.19
1500,48.23,48.29,0.23,2.77,1.23
1500,48.29,48.29,0.24,2.76,1.25
1500,48.27,48.29,0.24,2.67,1.15
1600,48.21,48.22,0.23,4.18,1.63
1600,48.21,48.23,0.24,4.11,1.57
1600,48.24,48.22,0.24,4.08,1.61
1600,48.25,48.21,0.22,4.04,1.63
1600,48.22,48.22,0.24,4.16,1.67
1700,48.20,48.16,0.22,5.82,2.05
1700,48.19,48.15,0.22,5.87,2.05
1700,48.14,48.18,0.21,5.87,2.11
1700,48.21,48.20,0.20,5.99,2.14
1700,48.20,48.18,0.23,5.69,2.03
1800,48.18,48.11,0.20,8.28,2.65
1800,48.19,48.10,0.22,7.92,2.62
1800,48.17,48.14,0.24,8.14,2.66
1800,48.16,48.04,0.20,8.46,2.73
1800,48.18,48.10,0.21,8.24,2.71
