Time: Thu Dec 15 15:41:53 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.29,48.39,0.28,0.30,-0.00
1000,48.29,48.36,0.26,0.29,-0.00
1000,48.32,48.40,0.25,0.30,-0.00
1000,48.30,48.37,0.26,0.28,-0.00
1000,48.29,48.37,0.24,0.31,-0.00
1100,48.30,48.38,0.53,0.29,0.18
1100,48.32,48.36,0.53,0.27,0.18
1100,48.34,48.38,0.51,0.27,0.18
1100,48.34,48.36,0.49,0.30,0.18
1100,48.33,48.38,0.50,0.29,0.18
1200,48.20,48.41,0.87,0.27,0.40
1200,48.30,48.37,0.84,0.28,0.39
1200,48.25,48.38,0.84,0.27,0.39
1200,48.32,48.41,0.84,0.26,0.40
1200,48.32,48.33,0.84,0.28,0.39
1300,48.32,48.40,1.28,0.28,0.64
1300,48.25,48.38,1.30,0.29,0.63
1300,48.30,48.37,1.27,0.28,0.61
1300,48.34,48.38,1.23,0.26,0.61
1300,48.33,48.40,1.30,0.28,0.61
1400,48.26,48.37,1.95,0.27,0.91
1400,48.26,48.38,1.95,0.26,0.90
1400,48.27,48.33,1.98,0.26,0.92
1400,48.20,48.36,1.92,0.26,0.90
1400,48.27,48.33,1.93,0.26,0.89
1500,48.23,48.34,3.08,0.25,1.28
1500,48.25,48.35,3.12,0.25,1.28
1500,48.23,48.35,3.08,0.26,1.31
1500,48.19,48.32,3.11,0.23,1.30
1500,48.22,48.35,3.08,0.26,1.31
1600,48.17,48.34,4.26,0.23,1.70
1600,48.17,48.31,4.21,0.23,1.70
1600,48.18,48.32,4.29,0.21,1.71
1600,48.19,48.34,4.24,0.24,1.68
1600,48.20,48.33,4.33,0.22,1.68
1700,48.17,48.27,5.67,0.21,2.13
1700,48.13,48.27,5.60,0.19,2.10
1700,48.13,48.26,5.80,0.20,2.05
1700,48.15,48.29,5.79,0.21,2.03
1700,48.22,48.28,5.74,0.19,2.03
1800,48.10,48.24,7.61,0.18,2.48
1800,48.09,48.25,7.40,0.17,2.50
1800,48.10,48.22,7.33,0.19,2.50
1800,48.11,48.25,7.45,0.19,2.48
1800,48.10,48.19,7.44,0.18,2.55
1900,48.04,48.18,9.51,0.15,3.00
1900,48.02,48.21,9.62,0.16,3.00
1900,48.04,48.18,9.42,0.15,2.97
1900,48.10,48.20,9.44,0.15,2.93
1900,48.07,48.23,9.60,0.16,2.97
