Time: Tue Dec 13 10:25:55 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.29,48.27,0.21,0.19,-0.00
1100,48.29,48.29,0.25,0.19,-0.00
1100,48.27,48.29,0.23,0.21,-0.00
1100,48.29,48.29,0.23,0.19,-0.00
1100,48.29,48.28,0.25,0.18,-0.00
1200,48.17,48.26,0.72,0.20,0.23
1200,48.24,48.26,0.59,0.19,0.24
1200,48.26,48.22,0.57,0.21,0.25
1200,48.26,48.32,0.58,0.18,0.24
1200,48.28,48.25,0.58,0.17,0.24
1300,48.19,48.27,1.05,0.19,0.53
1300,48.26,48.30,1.07,0.18,0.54
1300,48.21,48.25,1.07,0.19,0.53
1300,48.24,48.24,1.02,0.19,0.51
1300,48.22,48.25,1.04,0.16,0.55
1400,48.21,48.30,2.05,0.19,0.97
1400,48.25,48.25,1.96,0.17,0.94
1400,48.19,48.26,2.03,0.17,0.96
1400,48.24,48.23,1.92,0.15,0.96
1400,48.22,48.24,1.95,0.17,0.94
1500,48.18,48.23,3.49,0.14,1.51
1500,48.20,48.23,3.59,0.15,1.52
1500,48.12,48.21,3.54,0.16,1.49
1500,48.17,48.25,3.57,0.16,1.52
1500,48.15,48.20,3.54,0.16,1.48
1600,48.14,48.17,5.30,0.13,2.02
1600,48.11,48.20,5.30,0.11,2.02
1600,48.13,48.18,5.24,0.12,1.96
1600,48.13,48.19,5.15,0.12,1.95
1600,48.10,48.16,5.20,0.12,1.99
1700,48.03,48.04,7.76,0.08,2.61
1700,47.99,48.17,7.81,0.12,2.57
1700,48.06,48.16,7.30,0.11,2.48
1700,48.11,48.13,7.28,0.14,2.58
1700,48.31,48.09,7.99,0.10,2.55
1800,47.88,48.10,10.36,0.08,3.25
1800,47.97,48.07,10.44,0.07,3.15
1800,47.99,48.11,10.02,0.06,3.21
1800,48.00,48.06,10.19,0.06,3.22
1800,47.95,48.07,10.30,0.05,3.25
