Time: Tue Dec 13 10:45:38 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.24,48.30,0.26,0.18,0.00
1100,48.28,48.30,0.25,0.20,0.00
1100,48.25,48.27,0.23,0.18,0.00
1100,48.27,48.29,0.27,0.21,0.00
1100,48.31,48.29,0.24,0.20,-0.00
1200,48.27,48.25,0.56,0.18,0.18
1200,48.28,48.27,0.48,0.18,0.17
1200,48.22,48.25,0.52,0.16,0.17
1200,48.23,48.25,0.51,0.20,0.17
1200,48.29,48.29,0.52,0.18,0.16
1300,48.25,48.27,0.82,0.17,0.35
1300,48.25,48.20,0.78,0.18,0.34
1300,48.27,48.25,0.81,0.16,0.35
1300,48.29,48.24,0.79,0.19,0.34
1300,48.25,48.26,0.80,0.18,0.35
1400,48.26,48.26,1.46,0.17,0.65
1400,48.25,48.29,1.47,0.17,0.67
1400,48.24,48.31,1.47,0.19,0.65
1400,48.20,48.32,1.46,0.19,0.65
1400,48.24,48.27,1.47,0.19,0.66
1500,48.19,48.28,2.39,0.15,0.99
1500,48.18,48.27,2.35,0.14,1.01
1500,48.20,48.24,2.34,0.15,0.99
1500,48.17,48.28,2.27,0.17,0.96
1500,48.23,48.27,2.26,0.15,0.95
1600,48.21,48.23,3.29,0.14,1.32
1600,48.21,48.20,3.40,0.16,1.31
1600,48.14,48.19,3.50,0.16,1.33
1600,48.17,48.26,3.42,0.16,1.36
1600,48.13,48.24,3.45,0.14,1.36
1700,48.12,48.19,5.03,0.14,1.80
1700,48.14,48.20,4.98,0.13,1.76
1700,48.13,48.19,4.92,0.13,1.80
1700,48.13,48.20,4.91,0.13,1.78
1700,48.16,48.19,4.87,0.15,1.76
1800,48.01,48.13,6.96,0.11,2.19
1800,48.05,48.14,7.00,0.11,2.19
1800,48.11,48.17,6.84,0.10,2.19
1800,48.06,48.11,6.85,0.11,2.17
1800,48.05,48.09,6.81,0.12,2.20
