Time: Tue Dec 13 11:07:12 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.30,48.33,0.25,0.21,0.00
1100,48.24,48.33,0.23,0.20,-0.00
1100,48.32,48.34,0.24,0.20,0.00
1100,48.30,48.34,0.24,0.21,0.00
1100,48.31,48.35,0.27,0.21,0.00
1200,48.25,48.26,0.72,0.18,0.33
1200,48.25,48.31,0.68,0.18,0.33
1200,48.25,48.34,0.67,0.19,0.33
1200,48.30,48.30,0.67,0.21,0.32
1200,48.25,48.29,0.67,0.18,0.33
1300,48.28,48.30,1.38,0.20,0.69
1300,48.26,48.26,1.38,0.17,0.68
1300,48.28,48.33,1.37,0.18,0.68
1300,48.28,48.28,1.36,0.18,0.69
1300,48.28,48.28,1.38,0.18,0.70
1400,48.20,48.23,2.78,0.16,1.21
1400,48.19,48.25,2.68,0.16,1.19
1400,48.17,48.33,2.65,0.17,1.19
1400,48.19,48.25,2.72,0.15,1.22
1400,48.24,48.30,2.74,0.15,1.22
1500,48.15,48.18,4.93,0.14,1.84
1500,48.16,48.23,4.79,0.13,1.85
1500,48.21,48.15,4.95,0.15,1.89
1500,48.15,48.18,5.06,0.15,1.92
1500,48.13,48.21,5.02,0.12,1.93
1600,48.04,48.20,7.78,0.12,2.58
1600,48.08,48.15,7.64,0.09,2.53
1600,48.09,48.17,7.53,0.11,2.56
1600,48.05,48.18,7.69,0.08,2.56
1600,48.02,48.21,7.53,0.11,2.57
1700,47.92,48.15,10.96,0.08,3.21
1700,47.99,48.12,10.70,0.07,3.17
1700,47.94,48.04,10.74,0.07,3.20
1700,47.98,48.12,10.68,0.08,3.19
1700,48.03,48.14,10.95,0.08,3.20
1800,47.89,47.90,16.06,0.05,3.98
1800,47.84,47.97,15.74,0.04,3.92
1800,47.78,48.03,15.94,0.04,3.89
1800,47.82,47.98,15.97,0.04,3.95
1800,47.85,47.95,15.91,0.03,3.93
