Time: Thu Dec 15 13:12:08 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.31,48.30,0.27,0.22,-0.00
1000,48.27,48.28,0.27,0.22,0.00
1000,48.33,48.34,0.26,0.19,-0.00
1000,48.32,48.37,0.26,0.23,-0.00
1000,48.33,48.36,0.26,0.23,-0.00
1100,48.29,48.34,0.62,0.21,0.22
1100,48.30,48.32,0.58,0.21,0.23
1100,48.30,48.33,0.59,0.22,0.21
1100,48.30,48.36,0.56,0.21,0.22
1100,48.33,48.31,0.58,0.21,0.23
1200,48.23,48.30,1.01,0.22,0.47
1200,48.29,48.32,0.97,0.21,0.46
1200,48.27,48.36,0.97,0.22,0.46
1200,48.24,48.28,0.95,0.19,0.45
1200,48.22,48.38,0.95,0.19,0.49
1300,48.25,48.33,1.56,0.18,0.74
1300,48.22,48.35,1.53,0.19,0.73
1300,48.27,48.33,1.61,0.18,0.75
1300,48.31,48.28,1.59,0.21,0.76
1300,48.29,48.25,1.58,0.20,0.76
1400,48.22,48.26,2.77,0.15,1.21
1400,48.27,48.25,2.80,0.18,1.18
1400,48.24,48.22,2.84,0.16,1.25
1400,48.23,48.30,2.87,0.19,1.21
1400,48.23,48.29,2.78,0.21,1.21
1500,48.22,48.30,4.18,0.17,1.63
1500,48.18,48.27,4.14,0.19,1.64
1500,48.15,48.25,4.18,0.17,1.59
1500,48.22,48.32,4.07,0.16,1.64
1500,48.24,48.30,4.09,0.18,1.60
1600,48.09,48.23,5.71,0.13,2.06
1600,48.12,48.30,5.65,0.16,2.03
1600,48.18,48.24,5.60,0.17,2.03
1600,48.20,48.27,5.64,0.19,2.07
1600,48.19,48.27,5.59,0.16,2.06
1700,48.14,48.19,7.71,0.15,2.57
1700,48.07,48.18,7.78,0.14,2.57
1700,48.08,48.20,7.72,0.12,2.56
1700,48.08,48.22,7.63,0.13,2.57
1700,48.09,48.16,7.70,0.14,2.53
1800,48.02,48.20,10.00,0.07,3.10
1800,48.03,48.19,9.98,0.12,3.12
1800,48.01,48.19,10.12,0.12,3.17
1800,48.06,48.18,10.41,0.10,3.10
1800,47.99,48.15,10.23,0.11,3.07
1900,47.98,48.16,12.97,0.09,3.66
1900,47.97,48.17,13.07,0.08,3.71
1900,47.97,48.11,13.08,0.07,3.78
1900,47.95,48.12,14.00,0.06,3.87
1900,47.90,48.12,14.08,0.06,3.86
