Time: Thu Dec 15 13:43:53 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.31,48.29,0.25,0.19,-0.00
1000,48.27,48.35,0.26,0.23,-0.00
1000,48.25,48.33,0.26,0.21,-0.01
1000,48.26,48.35,0.25,0.21,-0.00
1000,48.33,48.34,0.27,0.23,-0.00
1100,48.27,48.32,0.69,0.20,0.21
1100,48.34,48.31,0.55,0.20,0.20
1100,48.29,48.38,0.54,0.18,0.20
1100,48.32,48.34,0.56,0.22,0.19
1100,48.28,48.35,0.57,0.21,0.18
1200,48.30,48.36,0.93,0.21,0.43
1200,48.26,48.34,0.98,0.20,0.42
1200,48.31,48.32,0.96,0.20,0.41
1200,48.32,48.32,0.97,0.20,0.43
1200,48.29,48.36,0.97,0.21,0.42
1300,48.23,48.30,1.59,0.19,0.70
1300,48.29,48.33,1.57,0.20,0.70
1300,48.30,48.32,1.54,0.20,0.72
1300,48.27,48.27,1.51,0.20,0.68
1300,48.29,48.32,1.53,0.19,0.69
1400,48.23,48.32,2.70,0.20,1.18
1400,48.27,48.31,2.60,0.19,1.17
1400,48.21,48.27,2.72,0.18,1.19
1400,48.24,48.24,2.79,0.16,1.17
1400,48.27,48.33,2.66,0.18,1.13
1500,48.22,48.25,3.95,0.17,1.59
1500,48.22,48.25,4.15,0.20,1.63
1500,48.37,48.15,4.28,0.18,1.58
1500,48.20,48.29,4.08,0.17,1.57
1500,48.18,48.31,3.92,0.17,1.56
1600,48.18,48.26,5.47,0.14,1.99
1600,48.15,48.26,5.78,0.15,2.05
1600,48.18,48.21,5.52,0.15,1.97
1600,48.17,48.27,5.48,0.15,1.99
1600,48.19,48.24,5.50,0.16,2.03
1700,48.11,48.20,7.73,0.13,2.53
1700,48.13,48.25,7.39,0.13,2.52
1700,48.10,48.17,7.42,0.14,2.56
1700,48.06,48.24,7.60,0.12,2.52
1700,48.12,48.24,7.43,0.13,2.53
1800,48.05,48.24,10.01,0.09,3.07
1800,48.02,48.19,10.01,0.11,3.07
1800,48.04,48.18,10.07,0.12,3.06
1800,48.06,48.16,10.03,0.11,3.06
1800,48.03,48.16,9.93,0.10,3.13
1900,47.98,48.11,14.17,0.06,3.75
1900,47.97,48.16,13.15,0.09,3.66
1900,47.97,48.16,12.95,0.08,3.67
1900,47.99,48.11,12.77,0.08,3.58
1900,47.96,48.18,12.78,0.08,3.57
