Time: Thu Dec 15 13:53:30 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.31,48.35,0.25,0.20,-0.00
1000,48.27,48.33,0.26,0.22,-0.00
1000,48.29,48.33,0.26,0.21,-0.00
1000,48.27,48.32,0.27,0.22,0.00
1000,48.29,48.35,0.24,0.21,-0.00
1100,48.30,48.34,0.72,0.18,0.20
1100,48.27,48.27,0.57,0.20,0.22
1100,48.27,48.36,0.56,0.22,0.20
1100,48.33,48.33,0.58,0.22,0.19
1100,48.29,48.29,0.59,0.22,0.20
1200,48.29,48.32,0.97,0.18,0.43
1200,48.32,48.28,0.97,0.20,0.45
1200,48.27,48.32,0.96,0.21,0.44
1200,48.28,48.27,0.97,0.19,0.46
1200,48.24,48.34,0.96,0.20,0.42
1300,48.29,48.34,1.60,0.18,0.72
1300,48.25,48.26,1.58,0.20,0.73
1300,48.25,48.32,1.62,0.19,0.75
1300,48.25,48.30,1.55,0.19,0.71
1300,48.26,48.35,1.56,0.18,0.73
1400,48.24,48.26,2.90,0.18,1.20
1400,48.22,48.33,2.97,0.17,1.22
1400,48.21,48.29,2.75,0.17,1.18
1400,48.21,48.28,2.95,0.17,1.17
1400,48.24,48.24,2.77,0.16,1.23
1500,48.15,48.27,4.36,0.16,1.64
1500,48.19,48.24,4.27,0.15,1.66
1500,48.15,48.28,4.27,0.15,1.63
1500,48.09,48.26,4.27,0.17,1.67
1500,48.16,48.26,4.12,0.16,1.61
1600,48.10,48.24,5.85,0.13,2.02
1600,48.13,48.23,5.82,0.15,1.98
1600,48.14,48.24,6.11,0.14,2.08
1600,48.12,48.27,5.84,0.14,2.01
1600,48.15,48.20,5.79,0.15,2.07
1700,48.11,48.23,8.10,0.12,2.59
1700,48.14,48.23,7.99,0.12,2.51
1700,48.10,48.20,8.06,0.13,2.56
1700,48.08,48.20,8.15,0.13,2.54
1700,48.07,48.22,8.09,0.11,2.54
1800,48.02,48.17,10.62,0.12,3.12
1800,48.03,48.18,10.44,0.09,3.06
1800,48.02,48.14,10.48,0.10,3.09
1800,47.96,48.18,10.64,0.11,3.06
1800,48.04,48.17,10.40,0.10,3.08
1900,47.90,48.11,14.13,0.07,3.72
1900,47.94,48.09,14.52,0.06,3.77
1900,47.91,48.07,14.76,0.07,3.77
1900,47.91,48.04,14.30,0.09,3.74
1900,47.98,48.17,13.88,0.06,3.72
