Time: Thu Dec 15 13:30:29 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.27,48.37,0.26,0.23,-0.00
1000,48.32,48.36,0.28,0.20,-0.00
1000,48.27,48.33,0.29,0.19,0.00
1000,48.29,48.37,0.30,0.24,0.00
1000,48.33,48.35,0.26,0.21,-0.00
1100,48.30,48.34,0.62,0.21,0.22
1100,48.35,48.38,0.56,0.20,0.23
1100,48.28,48.39,0.58,0.22,0.23
1100,48.29,48.32,0.60,0.22,0.23
1100,48.28,48.35,0.61,0.20,0.22
1200,48.29,48.38,0.99,0.20,0.48
1200,48.30,48.35,1.01,0.20,0.47
1200,48.30,48.30,1.00,0.21,0.46
1200,48.25,48.34,1.00,0.20,0.46
1200,48.35,48.30,1.00,0.20,0.48
1300,48.23,48.32,1.62,0.19,0.78
1300,48.28,48.30,1.67,0.18,0.77
1300,48.30,48.25,1.66,0.21,0.77
1300,48.30,48.28,1.70,0.20,0.79
1300,48.33,48.35,1.65,0.19,0.77
1400,48.22,48.29,2.88,0.17,1.25
1400,48.24,48.32,2.92,0.19,1.26
1400,48.24,48.32,2.85,0.18,1.24
1400,48.18,48.34,2.98,0.18,1.25
1400,48.23,48.36,3.10,0.18,1.24
1500,48.16,48.29,4.23,0.18,1.64
1500,48.12,48.32,4.45,0.18,1.65
1500,48.20,48.27,4.32,0.18,1.66
1500,48.21,48.28,4.29,0.15,1.67
1500,48.16,48.24,4.47,0.18,1.67
1600,48.15,48.25,5.94,0.15,2.04
1600,48.19,48.24,5.98,0.16,2.06
1600,48.14,48.24,5.94,0.13,2.08
1600,48.11,48.27,5.88,0.15,2.08
1600,48.14,48.20,6.02,0.15,2.08
1700,48.12,48.23,7.83,0.14,2.56
1700,48.07,48.22,7.85,0.14,2.58
1700,48.10,48.17,8.33,0.13,2.58
1700,48.04,48.22,8.10,0.14,2.55
1700,48.12,48.20,8.12,0.12,2.64
1800,48.06,48.19,10.94,0.12,3.09
1800,47.95,48.17,10.50,0.10,3.06
1800,48.05,48.19,10.64,0.10,3.10
1800,47.99,48.16,10.73,0.10,2.99
1800,48.03,48.17,10.47,0.11,3.03
1900,48.01,48.15,14.91,0.07,3.79
1900,47.80,48.14,14.56,0.08,3.85
1900,47.97,48.14,14.73,0.05,3.79
1900,47.99,48.08,14.63,0.07,3.80
1900,47.86,48.12,14.16,0.05,3.72
