Time: Thu Dec 15 14:14:47 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.32,48.35,0.24,0.21,0.00
1000,48.34,48.36,0.26,0.22,0.00
1000,48.31,48.32,0.24,0.22,0.00
1000,48.30,48.33,0.24,0.23,0.00
1000,48.33,48.28,0.26,0.21,0.00
1100,48.27,48.29,0.66,0.20,0.20
1100,48.28,48.33,0.59,0.23,0.21
1100,48.29,48.33,0.55,0.20,0.23
1100,48.32,48.31,0.57,0.19,0.23
1100,48.31,48.33,0.59,0.21,0.23
1200,48.29,48.28,0.99,0.22,0.46
1200,48.25,48.32,0.99,0.22,0.43
1200,48.24,48.34,0.96,0.21,0.47
1200,48.29,48.32,0.96,0.20,0.44
1200,48.31,48.35,0.94,0.21,0.47
1300,48.28,48.34,1.58,0.20,0.76
1300,48.28,48.32,1.54,0.20,0.77
1300,48.19,48.29,1.60,0.20,0.76
1300,48.24,48.30,1.58,0.21,0.78
1300,48.25,48.29,1.59,0.19,0.78
1400,48.22,48.29,2.77,0.18,1.24
1400,48.23,48.31,2.75,0.17,1.22
1400,48.26,48.32,2.77,0.19,1.23
1400,48.24,48.30,2.69,0.20,1.23
1400,48.18,48.29,3.06,0.17,1.28
1500,48.22,48.26,4.06,0.15,1.66
1500,48.24,48.25,4.09,0.16,1.61
1500,48.21,48.26,4.10,0.18,1.65
1500,48.17,48.30,4.33,0.18,1.62
1500,48.16,48.28,4.09,0.17,1.62
1600,48.13,48.28,5.60,0.16,2.11
1600,48.13,48.27,5.50,0.17,2.12
1600,48.15,48.25,5.51,0.16,2.16
1600,48.14,48.22,5.45,0.15,2.09
1600,48.11,48.28,5.51,0.16,2.07
1700,48.14,48.20,7.50,0.14,2.55
1700,48.11,48.13,7.80,0.13,2.63
1700,48.10,48.17,7.44,0.14,2.54
1700,48.11,48.22,7.60,0.15,2.53
1700,48.07,48.23,7.53,0.12,2.56
1800,48.01,48.23,10.20,0.12,3.14
1800,48.02,48.18,10.20,0.10,3.11
1800,48.02,48.18,9.91,0.12,3.09
1800,48.02,48.18,9.91,0.10,3.09
1800,48.06,48.13,10.29,0.10,3.21
1900,47.94,48.09,14.39,0.08,3.86
1900,47.92,48.10,14.10,0.09,3.97
1900,48.03,48.04,14.57,0.07,3.75
1900,47.90,48.11,13.15,0.07,3.78
1900,47.95,48.12,13.19,0.08,3.67
