Time: Wed Dec 21 10:32:44 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.28,48.34,0.17,0.17,0.00
1000,48.37,48.30,0.21,0.17,0.00
1000,48.32,48.28,0.23,0.18,-0.00
1000,48.27,48.31,0.21,0.18,0.00
1000,48.27,48.28,0.24,0.15,-0.00
1100,48.30,48.29,0.44,0.18,0.13
1100,48.31,48.33,0.42,0.17,0.14
1100,48.26,48.35,0.44,0.17,0.14
1100,48.34,48.27,0.43,0.20,0.13
1100,48.36,48.28,0.43,0.18,0.13
1200,48.26,48.26,0.73,0.17,0.33
1200,48.32,48.23,0.72,0.17,0.33
1200,48.29,48.30,0.74,0.21,0.33
1200,48.24,48.29,0.76,0.19,0.33
1200,48.29,48.28,0.75,0.21,0.34
1300,48.26,48.33,1.17,0.17,0.57
1300,48.29,48.33,1.17,0.17,0.58
1300,48.28,48.29,1.14,0.18,0.58
1300,48.31,48.27,1.18,0.18,0.59
1300,48.31,48.17,1.15,0.18,0.58
1400,48.24,48.30,1.76,0.17,0.89
1400,48.25,48.19,1.79,0.17,0.90
1400,48.26,48.33,1.81,0.19,0.91
1400,48.28,48.26,1.80,0.19,0.91
1400,48.26,48.28,1.82,0.17,0.90
1500,48.24,48.32,2.94,0.14,1.29
1500,48.20,48.23,2.74,0.17,1.29
1500,48.23,48.32,2.73,0.16,1.27
1500,48.28,48.22,2.88,0.17,1.31
1500,48.18,48.25,2.73,0.15,1.27
1600,48.24,48.29,3.93,0.17,1.68
1600,48.21,48.24,4.03,0.16,1.70
1600,48.21,48.28,3.80,0.16,1.69
1600,48.18,48.20,3.77,0.15,1.72
1600,48.19,48.23,4.11,0.14,1.70
1700,48.21,48.23,5.40,0.15,2.12
1700,48.13,48.24,5.35,0.13,2.11
1700,48.19,48.22,5.26,0.14,2.07
1700,48.15,48.24,5.18,0.15,2.03
1700,48.17,48.26,5.19,0.12,2.03
1800,48.09,48.12,7.09,0.13,2.54
1800,48.14,48.17,6.96,0.14,2.57
1800,48.18,48.20,6.90,0.15,2.55
1800,48.11,48.25,6.89,0.12,2.56
1800,48.13,48.23,7.00,0.13,2.57
