Time: Wed Dec 21 10:12:59 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.30,48.30,0.21,0.17,0.00
1000,48.29,48.23,0.22,0.19,0.00
1000,48.30,48.29,0.22,0.17,0.00
1000,48.28,48.32,0.22,0.20,0.00
1000,48.27,48.31,0.23,0.20,0.00
1100,48.26,48.27,0.48,0.21,0.18
1100,48.24,48.29,0.46,0.17,0.18
1100,48.25,48.27,0.45,0.19,0.19
1100,48.31,48.27,0.47,0.18,0.19
1100,48.32,48.27,0.47,0.16,0.18
1200,48.27,48.30,0.95,0.17,0.44
1200,48.25,48.36,0.86,0.19,0.43
1200,48.24,48.27,0.84,0.18,0.44
1200,48.27,48.22,0.84,0.16,0.45
1200,48.29,48.26,0.86,0.17,0.44
1300,48.24,48.25,1.48,0.18,0.73
1300,48.27,48.25,1.48,0.19,0.69
1300,48.29,48.28,1.42,0.17,0.70
1300,48.29,48.27,1.41,0.17,0.70
1300,48.25,48.23,1.43,0.17,0.71
1400,48.27,48.32,2.59,0.17,1.22
1400,48.26,48.26,2.74,0.17,1.19
1400,48.20,48.26,2.62,0.19,1.18
1400,48.17,48.27,2.58,0.15,1.18
1400,48.28,48.27,2.65,0.21,1.17
1500,48.15,48.26,3.94,0.15,1.64
1500,48.20,48.22,3.97,0.14,1.67
1500,48.14,48.24,3.98,0.16,1.63
1500,48.18,48.26,3.91,0.15,1.58
1500,48.20,48.25,3.88,0.14,1.62
1600,48.16,48.18,5.52,0.14,2.04
1600,48.13,48.18,5.47,0.12,2.07
1600,48.17,48.25,5.39,0.14,2.06
1600,48.17,48.19,5.48,0.13,2.06
1600,48.13,48.23,5.49,0.17,2.06
1700,48.13,48.21,7.60,0.12,2.60
1700,48.13,48.19,7.60,0.12,2.55
1700,48.09,48.19,7.63,0.12,2.55
1700,48.10,48.16,7.32,0.13,2.53
1700,48.09,48.15,7.52,0.12,2.57
1800,48.09,48.15,9.89,0.09,3.14
1800,48.05,48.18,9.82,0.10,3.19
1800,48.04,48.14,9.97,0.11,3.06
1800,48.05,48.13,9.93,0.11,3.09
1800,48.02,48.21,9.72,0.11,3.09
