Time: Mon Dec 19 13:29:23 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.25,48.30,0.21,0.29,-0.00
1000,48.30,48.33,0.21,0.29,0.00
1000,48.28,48.30,0.21,0.29,0.00
1000,48.30,48.33,0.20,0.28,-0.00
1000,48.28,48.32,0.22,0.29,-0.00
1100,48.28,48.33,0.20,0.68,0.21
1100,48.28,48.29,0.21,0.65,0.20
1100,48.30,48.27,0.22,0.67,0.20
1100,48.32,48.32,0.21,0.64,0.18
1100,48.22,48.26,0.19,0.67,0.20
1200,48.27,48.28,0.20,1.16,0.42
1200,48.24,48.28,0.22,1.14,0.41
1200,48.24,48.31,0.21,1.11,0.42
1200,48.29,48.26,0.21,1.13,0.41
1200,48.28,48.32,0.22,1.14,0.45
1300,48.22,48.29,0.22,1.89,0.78
1300,48.32,48.25,0.19,1.98,0.77
1300,48.21,48.24,0.20,2.00,0.76
1300,48.27,48.30,0.19,2.01,0.76
1300,48.30,48.27,0.20,2.01,0.75
1400,48.25,48.16,0.19,3.03,1.11
1400,48.20,48.21,0.20,3.01,1.11
1400,48.19,48.28,0.22,3.05,1.12
1400,48.21,48.25,0.21,3.02,1.12
1400,48.23,48.22,0.22,3.10,1.14
1500,48.17,48.23,0.20,4.53,1.59
1500,48.20,48.21,0.19,4.55,1.60
1500,48.15,48.21,0.18,4.49,1.56
1500,48.20,48.18,0.20,4.48,1.53
1500,48.21,48.20,0.20,4.66,1.60
1600,48.15,48.15,0.19,6.66,2.01
1600,48.16,48.14,0.17,6.59,2.11
1600,48.23,48.21,0.20,6.88,2.07
1600,48.21,48.13,0.17,7.31,2.08
1600,48.21,48.16,0.19,6.06,2.08
1700,48.17,48.13,0.17,8.61,2.55
1700,48.16,48.04,0.17,8.87,2.54
1700,48.12,48.13,0.16,8.87,2.60
1700,48.16,48.12,0.17,8.68,2.52
1700,48.16,48.07,0.18,8.80,2.64
1800,48.04,47.96,0.17,11.62,3.14
1800,48.13,48.01,0.17,12.12,3.13
1800,48.08,48.02,0.18,12.02,3.15
1800,48.12,48.01,0.16,12.07,3.13
1800,48.13,48.01,0.18,11.84,3.15
