Time: Mon Dec 19 13:02:56 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.24,48.35,0.22,0.29,0.00
1000,48.26,48.37,0.22,0.31,0.00
1000,48.30,48.30,0.22,0.31,0.00
1000,48.31,48.34,0.21,0.30,0.00
1000,48.31,48.34,0.23,0.30,0.00
1100,48.30,48.36,0.23,0.63,0.14
1100,48.28,48.32,0.22,0.65,0.14
1100,48.28,48.30,0.21,0.65,0.16
1100,48.29,48.34,0.20,0.63,0.14
1100,48.33,48.34,0.23,0.65,0.14
1200,48.23,48.32,0.22,0.99,0.32
1200,48.29,48.32,0.25,0.98,0.32
1200,48.27,48.30,0.24,0.99,0.31
1200,48.30,48.36,0.22,1.01,0.32
1200,48.29,48.35,0.20,0.99,0.34
1300,48.27,48.32,0.22,1.63,0.56
1300,48.29,48.30,0.21,1.69,0.58
1300,48.23,48.27,0.22,1.63,0.56
1300,48.28,48.31,0.22,1.58,0.55
1300,48.29,48.28,0.21,1.65,0.55
1400,48.29,48.30,0.22,2.37,0.80
1400,48.21,48.27,0.23,2.39,0.80
1400,48.28,48.29,0.21,2.32,0.82
1400,48.30,48.31,0.19,2.41,0.82
1400,48.22,48.28,0.22,2.45,0.82
1500,48.21,48.27,0.23,3.38,1.07
1500,48.28,48.32,0.22,3.42,1.10
1500,48.43,48.15,0.20,3.49,1.10
1500,48.20,48.29,0.19,3.50,1.08
1500,48.23,48.32,0.21,3.42,1.06
1600,48.20,48.24,0.20,4.84,1.46
1600,48.23,48.19,0.22,4.84,1.44
1600,48.23,48.22,0.20,4.69,1.39
1600,48.25,48.23,0.21,4.79,1.41
1600,48.21,48.28,0.21,4.70,1.43
1700,48.19,48.19,0.19,6.67,1.85
1700,48.24,48.17,0.19,6.78,1.86
1700,48.23,48.17,0.20,6.59,1.85
1700,48.17,48.17,0.20,6.64,1.81
1700,48.19,48.19,0.19,6.78,1.85
1800,48.14,48.14,0.17,8.89,2.28
1800,48.15,48.07,0.19,8.82,2.29
1800,48.17,48.10,0.18,8.86,2.25
1800,48.13,48.13,0.20,8.76,2.23
1800,48.18,48.15,0.19,8.83,2.26
