Time: Mon Dec 19 13:08:59 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.30,48.35,0.22,0.31,-0.00
1000,48.34,48.36,0.22,0.28,-0.00
1000,48.31,48.32,0.23,0.27,-0.00
1000,48.27,48.32,0.23,0.29,-0.00
1000,48.32,48.38,0.20,0.30,-0.00
1100,48.25,48.35,0.21,0.63,0.14
1100,48.24,48.33,0.24,0.62,0.15
1100,48.35,48.31,0.22,0.60,0.14
1100,48.28,48.34,0.23,0.60,0.14
1100,48.29,48.33,0.22,0.62,0.14
1200,48.23,48.33,0.22,1.00,0.31
1200,48.24,48.31,0.20,1.01,0.31
1200,48.23,48.32,0.21,0.95,0.31
1200,48.28,48.32,0.22,1.03,0.33
1200,48.30,48.34,0.23,1.01,0.31
1300,48.25,48.32,0.20,1.59,0.57
1300,48.23,48.29,0.21,1.64,0.54
1300,48.29,48.31,0.22,1.62,0.55
1300,48.28,48.30,0.21,1.61,0.51
1300,48.26,48.30,0.21,1.64,0.55
1400,48.23,48.32,0.22,2.43,0.80
1400,48.25,48.27,0.20,2.40,0.77
1400,48.27,48.32,0.23,2.43,0.81
1400,48.23,48.29,0.20,2.44,0.80
1400,48.27,48.26,0.21,2.38,0.82
1500,48.28,48.27,0.22,3.56,1.11
1500,48.21,48.26,0.19,3.38,1.13
1500,48.27,48.28,0.22,3.57,1.13
1500,48.24,48.28,0.21,3.43,1.08
1500,48.23,48.27,0.21,3.41,1.06
1600,48.24,48.27,0.19,4.73,1.39
1600,48.41,48.05,0.19,4.86,1.38
1600,48.22,48.24,0.21,4.92,1.40
1600,48.25,48.25,0.22,4.68,1.43
1600,48.17,48.24,0.20,4.85,1.48
1700,48.17,48.20,0.21,6.67,1.84
1700,48.24,48.21,0.19,6.56,1.82
1700,48.17,48.20,0.20,6.59,1.81
1700,48.16,48.18,0.19,6.42,1.82
1700,48.18,48.20,0.18,6.60,1.85
1800,48.13,48.11,0.18,8.94,2.19
1800,48.19,48.13,0.19,8.98,2.30
1800,48.10,48.11,0.18,8.79,2.20
1800,48.13,48.14,0.18,9.03,2.31
1800,48.16,48.14,0.20,8.74,2.22
