Time: Fri Dec 16 15:58:06 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.26,48.31,0.23,0.29,0.00
1000,48.30,48.34,0.23,0.27,0.00
1000,48.32,48.34,0.24,0.27,0.00
1000,48.33,48.35,0.25,0.28,0.00
1000,48.28,48.29,0.24,0.28,0.00
1100,48.28,48.32,0.22,0.74,0.22
1100,48.33,48.30,0.23,0.74,0.23
1100,48.30,48.33,0.24,0.73,0.23
1100,48.32,48.32,0.23,0.72,0.23
1100,48.28,48.36,0.23,0.73,0.22
1200,48.27,48.26,0.23,1.34,0.49
1200,48.32,48.32,0.22,1.31,0.51
1200,48.28,48.31,0.22,1.33,0.51
1200,48.30,48.30,0.22,1.33,0.52
1200,48.31,48.34,0.23,1.31,0.52
1300,48.33,48.28,0.22,2.17,0.84
1300,48.31,48.32,0.21,2.24,0.87
1300,48.30,48.30,0.22,2.20,0.86
1300,48.29,48.27,0.21,2.31,0.87
1300,48.30,48.27,0.22,2.19,0.85
1400,48.30,48.22,0.23,3.48,1.29
1400,48.27,48.21,0.21,3.45,1.24
1400,48.29,48.24,0.21,3.58,1.27
1400,48.23,48.21,0.19,3.52,1.25
1400,48.27,48.22,0.21,3.46,1.26
1500,48.19,48.22,0.20,5.29,1.70
1500,48.23,48.23,0.20,5.37,1.75
1500,48.25,48.18,0.21,5.33,1.69
1500,48.22,48.16,0.19,5.36,1.67
1500,48.25,48.23,0.20,5.17,1.69
1600,48.19,48.16,0.21,7.34,2.19
1600,48.22,48.17,0.20,7.23,2.10
1600,48.18,48.18,0.21,7.27,2.20
1600,48.17,48.19,0.21,7.09,2.18
1600,48.19,48.15,0.20,7.49,2.16
1700,48.13,48.06,0.19,10.21,2.73
1700,48.19,48.08,0.18,10.07,2.74
1700,48.09,48.05,0.18,10.15,2.72
1700,48.14,48.08,0.18,10.20,2.72
1700,48.16,48.06,0.17,10.33,2.69
1800,48.04,47.92,0.17,15.93,3.17
1800,48.06,47.92,0.15,16.04,3.10
1800,48.05,47.88,0.16,16.20,3.16
1800,48.07,47.90,0.16,16.04,3.14
1800,48.10,47.90,0.15,16.02,3.10
