Time: Fri Dec 16 15:27:36 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.33,48.35,0.22,0.30,0.00
1000,48.33,48.39,0.23,0.28,-0.00
1000,48.30,48.36,0.23,0.29,0.00
1000,48.33,48.35,0.22,0.29,0.00
1000,48.32,48.36,0.22,0.30,-0.00
1100,48.31,48.33,0.23,0.65,0.17
1100,48.35,48.36,0.21,0.67,0.17
1100,48.28,48.32,0.23,0.67,0.17
1100,48.32,48.38,0.23,0.64,0.17
1100,48.38,48.32,0.23,0.63,0.17
1200,48.33,48.33,0.22,1.12,0.38
1200,48.36,48.33,0.24,1.13,0.39
1200,48.30,48.36,0.23,1.15,0.38
1200,48.30,48.30,0.24,1.12,0.40
1200,48.29,48.34,0.24,1.13,0.40
1300,48.32,48.36,0.23,1.81,0.62
1300,48.32,48.36,0.21,1.83,0.64
1300,48.29,48.33,0.22,1.80,0.62
1300,48.28,48.34,0.21,1.81,0.61
1300,48.28,48.25,0.24,1.85,0.62
1400,48.26,48.29,0.21,2.77,0.92
1400,48.30,48.27,0.23,2.77,0.93
1400,48.29,48.28,0.22,2.78,0.94
1400,48.28,48.28,0.23,2.76,0.91
1400,48.30,48.26,0.23,2.76,0.91
1500,48.23,48.24,0.22,4.08,1.26
1500,48.29,48.22,0.21,4.05,1.29
1500,48.26,48.25,0.24,4.11,1.29
1500,48.29,48.27,0.23,4.07,1.29
1500,48.29,48.28,0.22,4.09,1.29
1600,48.21,48.25,0.20,5.56,1.63
1600,48.26,48.18,0.23,5.41,1.59
1600,48.23,48.22,0.20,5.51,1.58
1600,48.24,48.24,0.22,5.61,1.62
1600,48.22,48.24,0.19,5.48,1.62
1700,48.20,48.16,0.21,7.89,2.08
1700,48.20,48.14,0.21,7.77,2.09
1700,48.17,48.16,0.22,7.74,2.06
1700,48.23,48.18,0.19,8.00,2.09
1700,48.23,48.16,0.21,7.82,2.07
1800,48.11,48.07,0.18,10.27,2.53
1800,48.19,48.02,0.18,10.41,2.51
1800,48.17,48.12,0.20,10.17,2.46
