Time: Fri Dec 16 15:38:29 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.30,48.33,0.24,0.29,0.00
1000,48.32,48.32,0.22,0.28,-0.00
1000,48.30,48.32,0.22,0.30,0.00
1000,48.36,48.35,0.23,0.28,0.00
1000,48.28,48.35,0.24,0.28,0.00
1100,48.32,48.32,0.24,0.78,0.27
1100,48.29,48.27,0.22,0.79,0.27
1100,48.31,48.34,0.22,0.79,0.27
1100,48.33,48.36,0.24,0.76,0.27
1100,48.32,48.35,0.22,0.80,0.27
1200,48.32,48.35,0.22,1.33,0.53
1200,48.29,48.34,0.22,1.39,0.54
1200,48.31,48.31,0.23,1.37,0.53
1200,48.31,48.29,0.23,1.38,0.54
1200,48.32,48.33,0.20,1.35,0.54
1300,48.30,48.31,0.22,2.58,0.95
1300,48.25,48.27,0.20,2.56,0.95
1300,48.25,48.29,0.22,2.60,0.96
1300,48.27,48.30,0.21,2.58,0.95
1300,48.28,48.28,0.23,2.58,0.95
1400,48.26,48.25,0.21,4.15,1.38
1400,48.27,48.23,0.21,4.12,1.38
1400,48.25,48.23,0.20,4.20,1.36
1400,48.25,48.24,0.23,4.12,1.36
1400,48.28,48.29,0.21,4.11,1.36
1500,48.22,48.20,0.22,6.17,1.85
1500,48.21,48.22,0.21,6.15,1.86
1500,48.27,48.18,0.19,6.26,1.84
1500,48.27,48.22,0.20,6.15,1.86
1500,48.26,48.21,0.20,6.18,1.85
1600,48.20,48.15,0.22,8.53,2.36
1600,48.24,48.10,0.19,8.61,2.38
1600,48.19,48.13,0.19,8.75,2.42
1600,48.21,48.16,0.20,8.72,2.34
1600,48.12,48.12,0.18,8.78,2.39
1700,48.10,48.05,0.18,12.37,2.98
1700,48.13,48.06,0.17,12.26,2.96
1700,48.09,48.07,0.19,12.20,3.02
1700,48.13,48.03,0.19,12.41,3.06
1700,48.12,48.03,0.18,12.36,3.03
1800,48.07,47.95,0.17,16.71,3.70
1800,48.09,47.95,0.17,16.62,3.65
1800,48.10,47.87,0.14,16.23,3.56
