Time: Wed Dec 21 10:28:03 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.30,48.33,0.22,0.20,-0.00
1000,48.30,48.24,0.20,0.20,-0.00
1000,48.27,48.27,0.20,0.18,-0.00
1000,48.32,48.29,0.22,0.20,-0.00
1000,48.29,48.29,0.22,0.18,-0.00
1100,48.34,48.27,0.43,0.20,0.13
1100,48.30,48.32,0.44,0.21,0.13
1100,48.30,48.30,0.44,0.16,0.13
1100,48.31,48.32,0.41,0.19,0.14
1100,48.24,48.28,0.44,0.18,0.13
1200,48.30,48.30,0.75,0.17,0.33
1200,48.29,48.30,0.74,0.18,0.35
1200,48.24,48.30,0.71,0.18,0.33
1200,48.21,48.33,0.72,0.17,0.33
1200,48.25,48.20,0.77,0.19,0.33
1300,48.31,48.28,1.14,0.17,0.56
1300,48.28,48.30,1.15,0.18,0.54
1300,48.27,48.33,1.15,0.18,0.55
1300,48.29,48.32,1.11,0.18,0.55
1300,48.25,48.32,1.20,0.17,0.55
1400,48.30,48.29,1.79,0.19,0.83
1400,48.31,48.30,1.78,0.17,0.78
1400,48.30,48.29,1.70,0.19,0.81
1400,48.25,48.28,1.74,0.16,0.83
1400,48.24,48.32,1.73,0.19,0.82
1500,48.31,48.34,2.80,0.16,1.19
1500,48.28,48.23,2.77,0.17,1.21
1500,48.17,48.27,2.82,0.17,1.27
1500,48.25,48.22,2.76,0.16,1.25
1500,48.20,48.23,2.89,0.18,1.29
1600,48.24,48.28,3.88,0.18,1.58
1600,48.18,48.27,3.97,0.17,1.63
1600,48.24,48.25,4.02,0.16,1.65
1600,48.16,48.26,4.03,0.16,1.63
1600,48.20,48.18,4.00,0.16,1.61
1700,48.16,48.25,5.42,0.15,2.02
1700,48.19,48.25,5.35,0.14,1.97
1700,48.12,48.24,5.30,0.16,1.96
1700,48.34,48.11,5.54,0.14,1.92
1700,48.19,48.18,5.21,0.14,2.01
1800,48.13,48.27,6.82,0.13,2.36
1800,48.11,48.22,6.73,0.11,2.31
1800,48.16,48.26,6.99,0.13,2.44
1800,48.13,48.23,6.96,0.13,2.40
1800,48.09,48.19,6.80,0.11,2.35
