Time: Wed Dec 21 13:01:55 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.27,48.32,0.21,0.20,-0.00
1000,48.28,48.27,0.21,0.19,0.00
1000,48.24,48.31,0.19,0.21,0.00
1000,48.30,48.32,0.20,0.20,-0.00
1000,48.20,48.33,0.20,0.20,-0.00
1100,48.28,48.32,0.44,0.20,0.15
1100,48.25,48.29,0.42,0.21,0.14
1100,48.30,48.36,0.44,0.22,0.13
1100,48.28,48.27,0.42,0.21,0.14
1100,48.29,48.36,0.42,0.20,0.15
1200,48.27,48.27,0.73,0.20,0.33
1200,48.22,48.29,0.70,0.20,0.34
1200,48.27,48.33,0.64,0.18,0.35
1200,48.27,48.33,0.67,0.22,0.30
1200,48.29,48.30,0.66,0.19,0.32
1300,48.26,48.29,1.15,0.20,0.58
1300,48.22,48.34,1.13,0.19,0.56
1300,48.29,48.30,1.13,0.19,0.56
1300,48.30,48.30,1.08,0.18,0.52
1300,48.30,48.27,1.12,0.19,0.55
1400,48.24,48.29,1.70,0.17,0.78
1400,48.27,48.30,1.67,0.18,0.83
1400,48.29,48.27,1.71,0.18,0.83
1400,48.29,48.28,1.68,0.17,0.85
1400,48.28,48.31,1.68,0.20,0.83
1500,48.20,48.29,2.60,0.19,1.16
1500,48.24,48.26,2.51,0.15,1.24
1500,48.25,48.28,2.56,0.16,1.23
1500,48.27,48.21,2.52,0.16,1.24
1500,48.25,48.26,2.65,0.20,1.22
1600,48.25,48.28,3.68,0.17,1.47
1600,48.36,48.18,3.89,0.17,1.52
1600,48.20,48.25,3.74,0.19,1.55
1600,48.28,48.24,3.67,0.18,1.54
1600,48.26,48.28,3.75,0.20,1.53
1700,48.14,48.28,5.04,0.16,1.95
1700,48.20,48.23,4.99,0.17,1.96
1700,48.12,48.22,4.95,0.13,1.96
1700,48.16,48.23,4.94,0.17,1.86
1700,48.16,48.26,4.70,0.15,1.88
1800,48.12,48.19,6.60,0.15,2.41
1800,48.12,48.21,6.41,0.17,2.38
1800,48.17,48.22,6.52,0.15,2.35
1800,48.16,48.25,6.48,0.14,2.35
1800,48.12,48.27,6.45,0.15,2.41
