Time: Wed Dec 21 13:06:34 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.21,48.27,0.18,0.21,0.00
1000,48.31,48.32,0.21,0.21,-0.00
1000,48.24,48.29,0.22,0.19,0.00
1000,48.25,48.32,0.23,0.21,-0.00
1000,48.31,48.27,0.19,0.20,-0.00
1100,48.31,48.33,0.41,0.21,0.13
1100,48.30,48.28,0.42,0.18,0.14
1100,48.32,48.35,0.42,0.18,0.14
1100,48.28,48.28,0.44,0.19,0.14
1100,48.31,48.35,0.43,0.20,0.14
1200,48.26,48.32,0.74,0.21,0.32
1200,48.30,48.32,0.71,0.19,0.34
1200,48.23,48.27,0.70,0.18,0.35
1200,48.30,48.30,0.71,0.18,0.31
1200,48.35,48.33,0.70,0.21,0.33
1300,48.21,48.35,1.05,0.18,0.55
1300,48.27,48.32,1.07,0.17,0.55
1300,48.25,48.35,1.10,0.18,0.57
1300,48.29,48.27,1.09,0.21,0.56
1300,48.28,48.32,1.09,0.19,0.57
1400,48.26,48.28,1.67,0.17,0.83
1400,48.27,48.32,1.68,0.18,0.81
1400,48.25,48.30,1.67,0.18,0.81
1400,48.18,48.28,1.67,0.19,0.83
1400,48.21,48.35,1.64,0.18,0.80
1500,48.25,48.28,2.57,0.17,1.18
1500,48.22,48.27,2.56,0.16,1.18
1500,48.27,48.23,2.57,0.17,1.20
1500,48.28,48.27,2.57,0.18,1.18
1500,48.17,48.24,2.53,0.17,1.19
1600,48.20,48.22,3.66,0.18,1.55
1600,48.19,48.30,3.74,0.16,1.63
1600,48.24,48.19,3.74,0.15,1.59
1600,48.13,48.29,3.57,0.17,1.53
1600,48.20,48.25,3.77,0.17,1.58
1700,48.19,48.23,4.92,0.16,1.99
1700,48.18,48.18,4.98,0.18,1.94
1700,48.16,48.28,4.85,0.17,1.98
1700,48.16,48.26,4.86,0.16,1.95
1700,48.17,48.26,4.84,0.15,1.92
1800,48.09,48.26,6.40,0.15,2.37
1800,48.09,48.26,6.38,0.14,2.33
1800,48.16,48.22,6.37,0.14,2.38
1800,48.17,48.20,6.39,0.14,2.33
1800,48.14,48.25,6.44,0.14,2.33
