Time: Thu Dec 15 15:47:09 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.27,48.43,0.26,0.27,0.00
1000,48.32,48.38,0.26,0.31,0.00
1000,48.35,48.40,0.25,0.29,0.00
1000,48.31,48.40,0.27,0.27,-0.00
1000,48.31,48.41,0.27,0.29,0.00
1100,48.31,48.39,0.56,0.30,0.15
1100,48.30,48.38,0.49,0.28,0.16
1100,48.27,48.37,0.49,0.26,0.16
1100,48.31,48.38,0.50,0.30,0.17
1100,48.31,48.39,0.51,0.28,0.17
1200,48.23,48.35,0.82,0.28,0.37
1200,48.35,48.37,0.83,0.29,0.36
1200,48.28,48.40,0.82,0.28,0.37
1200,48.30,48.36,0.83,0.28,0.36
1200,48.31,48.35,0.81,0.27,0.36
1300,48.28,48.40,1.23,0.25,0.59
1300,48.23,48.34,1.23,0.28,0.56
1300,48.28,48.41,1.17,0.28,0.59
1300,48.29,48.37,1.25,0.28,0.59
1300,48.25,48.34,1.25,0.28,0.61
1400,48.29,48.37,1.94,0.26,0.89
1400,48.24,48.32,1.93,0.26,0.88
1400,48.25,48.37,1.88,0.27,0.89
1400,48.28,48.32,1.89,0.28,0.90
1400,48.33,48.36,1.81,0.27,0.88
1500,48.22,48.36,2.95,0.25,1.27
1500,48.26,48.30,2.95,0.24,1.27
1500,48.23,48.35,2.96,0.27,1.27
1500,48.24,48.27,2.90,0.23,1.29
1500,48.21,48.32,3.02,0.24,1.32
1600,48.23,48.32,4.20,0.24,1.72
1600,48.21,48.26,4.23,0.23,1.74
1600,48.20,48.29,4.20,0.22,1.73
1600,48.17,48.30,4.23,0.22,1.69
1600,48.20,48.35,4.18,0.21,1.68
1700,48.18,48.27,5.37,0.22,2.00
1700,48.13,48.29,5.44,0.22,2.01
1700,48.12,48.30,5.44,0.23,2.04
1700,48.13,48.25,5.44,0.23,2.05
1700,48.18,48.25,5.39,0.21,2.06
1800,48.12,48.23,7.12,0.17,2.57
1800,48.10,48.26,7.18,0.20,2.56
1800,48.12,48.22,7.10,0.18,2.52
1800,48.10,48.23,7.18,0.18,2.53
1800,48.08,48.27,7.19,0.20,2.48
1900,48.02,48.19,9.20,0.17,3.05
1900,48.08,48.23,9.18,0.15,3.03
1900,48.04,48.24,9.33,0.15,3.04
1900,48.06,48.20,9.30,0.16,3.03
1900,48.03,48.23,9.37,0.16,3.05
