Time: Thu Dec 15 13:38:18 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.32,48.32,0.26,0.22,0.00
1000,48.28,48.35,0.26,0.24,0.00
1000,48.29,48.34,0.25,0.20,0.00
1000,48.30,48.30,0.27,0.21,-0.00
1000,48.33,48.32,0.25,0.22,0.00
1100,48.28,48.34,0.63,0.19,0.20
1100,48.29,48.32,0.56,0.21,0.21
1100,48.33,48.32,0.55,0.22,0.21
1100,48.30,48.35,0.55,0.22,0.21
1100,48.31,48.35,0.55,0.22,0.20
1200,48.27,48.32,0.94,0.20,0.46
1200,48.30,48.33,0.99,0.21,0.46
1200,48.28,48.34,0.97,0.21,0.44
1200,48.19,48.28,0.92,0.23,0.46
1200,48.25,48.29,0.97,0.20,0.46
1300,48.29,48.34,1.60,0.19,0.72
1300,48.23,48.29,1.56,0.18,0.72
1300,48.30,48.33,1.54,0.17,0.72
1300,48.28,48.35,1.58,0.19,0.75
1300,48.27,48.28,1.55,0.19,0.75
1400,48.22,48.25,2.76,0.20,1.24
1400,48.23,48.32,2.63,0.17,1.20
1400,48.26,48.31,2.67,0.17,1.20
1400,48.28,48.33,2.73,0.19,1.20
1400,48.27,48.28,2.71,0.16,1.23
1500,48.19,48.27,4.23,0.17,1.66
1500,48.20,48.28,4.09,0.15,1.61
1500,48.21,48.27,4.04,0.16,1.63
1500,48.22,48.29,4.20,0.16,1.61
1500,48.22,48.26,4.23,0.15,1.66
1600,48.18,48.22,5.59,0.13,2.00
1600,48.34,48.18,6.13,0.13,1.94
1600,48.28,48.16,6.09,0.16,2.01
1600,48.17,48.21,5.58,0.14,2.03
1600,48.15,48.25,5.56,0.15,2.02
1700,48.14,48.21,7.59,0.13,2.53
1700,48.07,48.22,7.64,0.13,2.58
1700,48.13,48.18,7.72,0.12,2.61
1700,48.11,48.21,7.67,0.11,2.59
1700,48.03,48.20,7.82,0.15,2.57
1800,48.07,48.17,9.97,0.10,3.13
1800,48.01,48.18,10.05,0.08,3.15
1800,48.00,48.19,9.84,0.11,3.07
1800,48.01,48.23,10.11,0.12,3.13
1800,48.05,48.15,10.08,0.12,3.06
1900,47.96,48.13,12.89,0.08,3.67
1900,48.00,48.17,12.94,0.07,3.69
1900,47.96,48.19,12.97,0.08,3.71
1900,47.95,48.12,12.79,0.08,3.61
1900,47.92,48.07,12.96,0.08,3.71
