Time: Mon Dec 19 13:24:08 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.28,48.29,0.22,0.25,0.00
1000,48.31,48.33,0.23,0.27,0.00
1000,48.31,48.31,0.20,0.24,0.00
1000,48.28,48.35,0.21,0.27,-0.00
1000,48.27,48.29,0.22,0.25,0.00
1100,48.30,48.32,0.22,0.68,0.22
1100,48.28,48.33,0.22,0.65,0.20
1100,48.30,48.23,0.20,0.65,0.18
1100,48.25,48.31,0.22,0.63,0.21
1100,48.28,48.33,0.21,0.64,0.20
1200,48.27,48.30,0.21,1.05,0.40
1200,48.27,48.30,0.21,1.10,0.43
1200,48.30,48.27,0.21,1.11,0.42
1200,48.30,48.33,0.19,1.07,0.44
1200,48.31,48.27,0.22,1.09,0.41
1300,48.25,48.25,0.21,1.99,0.76
1300,48.25,48.30,0.19,1.98,0.76
1300,48.25,48.24,0.19,1.93,0.77
1300,48.31,48.25,0.21,1.92,0.78
1300,48.24,48.26,0.21,1.91,0.74
1400,48.24,48.24,0.20,3.00,1.11
1400,48.28,48.22,0.21,3.06,1.10
1400,48.18,48.23,0.20,3.04,1.11
1400,48.26,48.20,0.22,2.98,1.07
1400,48.23,48.22,0.21,2.86,1.10
1500,48.20,48.19,0.20,4.75,1.58
1500,48.19,48.23,0.20,4.51,1.55
1500,48.20,48.26,0.19,4.48,1.58
1500,48.24,48.24,0.21,4.49,1.55
1500,48.22,48.24,0.20,4.60,1.60
1600,48.21,48.17,0.18,6.90,2.01
1600,48.19,48.21,0.19,6.67,2.06
1600,48.13,48.10,0.17,6.63,2.07
1600,48.16,48.14,0.19,6.39,2.11
1600,48.14,48.11,0.17,6.80,2.12
1700,48.09,48.15,0.18,8.89,2.59
1700,48.16,48.13,0.19,8.43,2.43
1700,48.13,48.04,0.18,8.88,2.60
1700,48.14,48.05,0.18,9.11,2.59
1700,48.16,48.12,0.18,8.63,2.58
1800,48.09,47.97,0.17,11.81,3.17
1800,48.11,48.00,0.18,12.05,3.24
1800,48.08,48.07,0.17,11.80,3.13
1800,48.12,48.03,0.16,12.08,3.17
1800,48.04,48.00,0.17,11.73,3.19
