Time: Fri Dec 16 15:54:42 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.28,48.28,0.23,0.26,-0.00
1000,48.33,48.37,0.24,0.25,-0.00
1000,48.33,48.35,0.23,0.27,-0.00
1000,48.34,48.35,0.23,0.26,0.00
1000,48.34,48.29,0.24,0.30,-0.00
1100,48.34,48.33,0.21,0.75,0.22
1100,48.31,48.35,0.24,0.73,0.20
1100,48.31,48.37,0.25,0.73,0.23
1100,48.32,48.33,0.23,0.73,0.21
1100,48.33,48.32,0.23,0.70,0.22
1200,48.30,48.25,0.23,1.34,0.50
1200,48.30,48.32,0.23,1.30,0.49
1200,48.29,48.29,0.21,1.34,0.48
1200,48.32,48.29,0.23,1.35,0.49
1200,48.28,48.33,0.25,1.30,0.47
1300,48.31,48.29,0.22,2.15,0.82
1300,48.25,48.29,0.23,2.17,0.82
1300,48.33,48.27,0.23,2.22,0.81
1300,48.29,48.32,0.24,2.22,0.81
1300,48.29,48.32,0.23,2.42,0.83
1400,48.32,48.28,0.23,3.52,1.21
1400,48.27,48.22,0.20,3.46,1.17
1400,48.30,48.24,0.21,3.50,1.23
1400,48.27,48.25,0.21,3.50,1.18
1400,48.20,48.29,0.20,3.45,1.23
1500,48.20,48.25,0.20,5.31,1.70
1500,48.24,48.20,0.22,5.31,1.63
1500,48.25,48.19,0.22,5.27,1.64
1500,48.26,48.20,0.20,5.23,1.70
1500,48.26,48.20,0.22,5.25,1.68
1600,48.14,48.10,0.21,7.41,2.17
1600,48.20,48.17,0.20,7.16,2.11
1600,48.19,48.15,0.20,7.37,2.12
1600,48.21,48.16,0.21,7.21,2.17
1600,48.19,48.14,0.20,7.49,2.16
1700,48.16,48.05,0.19,10.25,2.82
1700,48.12,48.06,0.19,10.41,2.79
1700,48.19,48.09,0.18,10.75,2.78
1700,48.22,48.09,0.18,10.41,2.73
1700,48.16,48.04,0.19,10.21,2.75
1800,48.06,47.89,0.14,15.81,3.23
1800,48.04,47.92,0.17,15.76,3.21
1800,48.09,47.89,0.16,16.16,3.19
1800,48.01,47.96,0.14,15.99,3.19
1800,48.06,47.95,0.16,15.95,3.14
