Time: Fri Dec 16 15:44:46 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.35,48.37,0.24,0.31,-0.00
1000,48.33,48.38,0.23,0.31,-0.00
1000,48.33,48.34,0.23,0.31,-0.00
1000,48.31,48.36,0.25,0.32,-0.00
1000,48.27,48.38,0.22,0.31,-0.00
1100,48.33,48.33,0.23,0.80,0.26
1100,48.31,48.32,0.22,0.80,0.27
1100,48.35,48.34,0.24,0.79,0.27
1100,48.34,48.36,0.24,0.79,0.25
1100,48.34,48.37,0.24,0.80,0.26
1200,48.32,48.34,0.22,1.37,0.51
1200,48.34,48.37,0.22,1.37,0.54
1200,48.28,48.30,0.23,1.38,0.53
1200,48.32,48.28,0.24,1.37,0.50
1200,48.29,48.36,0.23,1.35,0.51
1300,48.30,48.23,0.24,2.46,0.87
1300,48.30,48.33,0.23,2.58,0.94
1300,48.29,48.29,0.22,2.56,0.89
1300,48.27,48.27,0.23,2.49,0.91
1300,48.26,48.32,0.24,2.54,0.88
1400,48.28,48.24,0.22,4.02,1.35
1400,48.22,48.27,0.22,4.03,1.34
1400,48.25,48.21,0.23,4.23,1.38
1400,48.25,48.26,0.24,4.30,1.39
1400,48.31,48.28,0.22,4.10,1.37
1500,48.25,48.20,0.21,6.37,1.90
1500,48.25,48.23,0.20,6.47,1.93
1500,48.24,48.22,0.20,6.21,1.88
1500,48.25,48.14,0.21,6.41,1.92
1500,48.22,48.24,0.21,6.42,1.89
1600,48.13,48.12,0.20,9.13,2.50
1600,48.20,48.10,0.18,8.95,2.44
1600,48.23,48.06,0.20,8.92,2.46
1600,48.20,48.17,0.20,8.66,2.39
1600,48.14,48.11,0.20,8.53,2.33
1700,48.17,48.04,0.19,12.48,3.00
1700,48.10,48.03,0.17,12.21,2.95
1700,48.15,48.04,0.18,12.36,3.03
1700,48.14,48.03,0.18,12.12,3.05
1700,48.17,48.03,0.16,12.61,3.07
1800,48.07,47.95,0.17,16.66,3.70
1800,48.08,47.93,0.18,16.84,3.67
1800,48.05,47.93,0.17,16.62,3.67
1800,48.08,47.96,0.18,16.75,3.69
1800,48.18,47.93,0.18,16.57,3.66
