Time: Tue Dec 13 14:21:29 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.28,48.37,0.26,0.25,0.00
1100,48.36,48.31,0.25,0.27,0.00
1100,48.29,48.33,0.27,0.28,0.00
1100,48.32,48.35,0.29,0.25,0.00
1100,48.31,48.34,0.27,0.25,0.00
1200,48.31,48.30,0.27,0.49,0.16
1200,48.35,48.36,0.26,0.51,0.16
1200,48.30,48.30,0.26,0.49,0.16
1200,48.35,48.31,0.26,0.52,0.16
1200,48.31,48.33,0.28,0.51,0.16
1300,48.35,48.26,0.27,0.96,0.42
1300,48.25,48.31,0.27,0.88,0.42
1300,48.29,48.30,0.28,0.91,0.42
1300,48.28,48.36,0.25,0.93,0.43
1300,48.33,48.32,0.28,0.90,0.42
1400,48.32,48.27,0.24,1.51,0.73
1400,48.31,48.27,0.25,1.60,0.70
1400,48.30,48.27,0.25,1.50,0.72
1400,48.28,48.27,0.27,1.56,0.73
1400,48.22,48.30,0.24,1.55,0.69
1500,48.25,48.28,0.24,2.69,1.17
1500,48.18,48.36,0.25,2.94,1.21
1500,48.25,48.29,0.23,2.74,1.21
1500,48.26,48.25,0.24,2.66,1.17
1500,48.25,48.18,0.26,2.65,1.16
1600,48.21,48.22,0.24,4.36,1.68
1600,48.23,48.23,0.26,4.08,1.55
1600,48.23,48.22,0.25,4.04,1.59
1600,48.22,48.25,0.23,4.39,1.65
1600,48.23,48.23,0.24,4.39,1.67
1700,48.28,48.17,0.25,5.94,2.09
1700,48.23,48.19,0.24,5.69,2.02
1700,48.21,48.19,0.24,5.82,2.11
1700,48.17,48.22,0.24,5.84,2.01
1700,48.23,48.19,0.24,5.77,2.06
1800,48.20,48.10,0.21,8.15,2.61
1800,48.18,48.11,0.20,8.47,2.65
1800,48.16,48.13,0.24,8.21,2.52
1800,48.11,48.13,0.22,8.22,2.67
1800,48.17,48.13,0.22,8.16,2.64
