Time: Wed Dec 14 08:28:13 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.54,48.44,0.22,0.20,0.00
1100,48.47,48.47,0.23,0.19,0.00
1100,48.41,48.54,0.22,0.19,0.00
1100,48.49,48.50,0.22,0.22,0.00
1100,48.51,48.53,0.24,0.16,0.00
1200,48.38,48.33,0.21,0.50,0.19
1200,48.36,48.36,0.22,0.46,0.18
1200,48.33,48.34,0.23,0.46,0.18
1200,48.40,48.39,0.20,0.48,0.19
1200,48.33,48.36,0.22,0.45,0.18
1300,48.31,48.23,0.21,0.94,0.45
1300,48.28,48.26,0.21,0.90,0.46
1300,48.19,48.19,0.22,0.89,0.46
1300,48.24,48.28,0.23,0.87,0.46
1300,48.22,48.28,0.21,0.89,0.45
1400,48.24,48.24,0.20,1.51,0.78
1400,48.21,48.27,0.22,1.56,0.79
1400,48.27,48.25,0.23,1.53,0.79
1400,48.15,48.18,0.20,1.57,0.80
1400,48.30,48.19,0.22,1.60,0.80
1500,48.20,48.15,0.21,2.74,1.26
1500,48.25,48.22,0.21,2.71,1.24
1500,48.21,48.24,0.21,2.78,1.27
1500,48.24,48.20,0.23,2.73,1.25
1500,48.22,48.16,0.22,2.81,1.25
1600,48.22,48.21,0.21,4.17,1.70
1600,48.22,48.17,0.21,4.22,1.70
1600,48.20,48.16,0.22,4.26,1.72
1600,48.23,48.19,0.21,4.28,1.73
1600,48.19,48.16,0.21,4.28,1.70
1700,48.11,48.09,0.18,6.05,2.15
1700,48.10,48.14,0.18,6.05,2.16
1700,48.19,48.16,0.22,5.96,2.16
1700,48.20,48.13,0.20,5.83,2.10
1700,48.18,48.13,0.18,5.64,2.07
1800,48.10,48.04,0.20,8.43,2.72
1800,48.18,48.03,0.19,8.22,2.76
1800,48.13,48.09,0.18,8.37,2.82
1800,48.13,48.07,0.19,8.54,2.87
1800,48.16,48.07,0.19,8.59,2.88
