Time: Wed Dec 14 08:38:19 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.45,48.41,0.25,0.19,-0.00
1100,48.43,48.41,0.21,0.20,0.00
1100,48.42,48.44,0.23,0.19,-0.00
1100,48.40,48.45,0.22,0.22,-0.00
1100,48.45,48.43,0.22,0.19,-0.00
1200,48.32,48.34,0.21,0.46,0.18
1200,48.32,48.37,0.21,0.43,0.19
1200,48.33,48.30,0.24,0.45,0.19
1200,48.32,48.32,0.21,0.48,0.18
1200,48.27,48.26,0.22,0.43,0.19
1300,48.30,48.26,0.22,0.91,0.47
1300,48.30,48.24,0.23,0.88,0.46
1300,48.24,48.29,0.23,0.89,0.45
1300,48.28,48.21,0.22,0.91,0.45
1300,48.29,48.28,0.22,0.87,0.45
1400,48.31,48.21,0.21,1.59,0.79
1400,48.28,48.24,0.23,1.56,0.77
1400,48.25,48.27,0.22,1.57,0.76
1400,48.25,48.24,0.22,1.56,0.76
1400,48.25,48.26,0.22,1.55,0.77
1500,48.19,48.20,0.22,2.82,1.27
1500,48.23,48.25,0.21,2.77,1.29
1500,48.25,48.20,0.21,2.84,1.30
1500,48.19,48.22,0.22,2.82,1.26
1500,48.28,48.16,0.21,2.80,1.26
1600,48.20,48.17,0.20,4.37,1.74
1600,48.19,48.16,0.22,4.37,1.79
1600,48.21,48.19,0.19,4.52,1.82
1600,48.21,48.24,0.19,4.38,1.78
1600,48.19,48.14,0.20,4.25,1.75
1700,48.22,48.13,0.18,6.24,2.24
1700,48.15,48.16,0.22,6.00,2.21
1700,48.21,48.11,0.20,5.91,2.20
1700,48.20,48.13,0.20,5.95,2.15
1700,48.15,48.15,0.19,5.98,2.17
1800,48.13,48.01,0.17,8.51,2.80
1800,48.07,48.04,0.19,8.40,2.78
1800,48.11,48.05,0.18,8.28,2.80
1800,48.16,48.05,0.20,8.51,2.84
1800,48.17,47.99,0.21,8.51,2.81
