Time: Mon Dec 12 12:52:17 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.24,48.26,0.22,0.22,0.00
1100,48.31,48.27,0.24,0.21,0.00
1100,48.27,48.27,0.24,0.21,0.00
1100,48.30,48.25,0.25,0.18,0.00
1200,48.26,48.22,0.70,0.56,0.41
1200,48.24,48.24,0.60,0.59,0.42
1200,48.27,48.28,0.60,0.57,0.41
1200,48.22,48.27,0.59,0.57,0.41
1300,48.22,48.26,1.11,1.35,0.98
1300,48.18,48.18,1.13,1.37,1.02
1300,48.24,48.22,1.11,1.46,1.00
1300,48.22,48.28,1.10,1.31,0.97
1400,48.20,48.22,2.07,2.54,1.72
1400,48.20,48.17,2.10,2.47,1.74
1400,48.22,48.19,2.08,2.44,1.80
1400,48.23,48.22,2.03,2.51,1.76
1500,48.19,48.11,3.85,3.71,2.71
1500,48.17,48.19,3.83,4.38,2.66
1500,48.14,48.16,3.85,4.41,2.70
1500,48.18,48.13,3.80,4.15,2.64
1600,48.11,48.07,5.76,6.70,3.64
1600,48.07,48.08,5.85,6.92,3.66
1600,48.06,48.10,5.69,6.77,3.67
1600,48.10,48.07,5.74,6.89,3.69
1700,48.00,47.97,8.29,9.99,4.81
1700,47.95,47.98,8.47,9.97,4.81
1700,47.99,48.00,8.61,9.56,4.81
1700,47.99,47.95,8.27,10.12,4.83
1800,47.94,47.92,11.38,13.37,5.93
1800,47.89,47.84,11.86,13.77,5.92
1800,47.86,47.93,11.63,13.39,5.88
1800,47.84,47.83,12.50,13.54,5.92
