Time: Thu Dec  8 15:18:43 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.37,48.39,0.24,0.20,-0.00
1100,48.34,48.35,0.24,0.20,0.00
1100,48.31,48.36,0.26,0.19,0.00
1100,48.35,48.37,0.27,0.19,0.00
1100,48.39,48.36,0.23,0.21,0.00
1200,48.35,48.35,0.63,0.54,0.43
1200,48.37,48.36,0.56,0.62,0.41
1200,48.36,48.36,0.59,0.59,0.41
1200,48.37,48.40,0.57,0.53,0.41
1200,48.30,48.39,0.58,0.53,0.41
1300,48.31,48.39,1.07,1.29,0.94
1300,48.34,48.32,1.06,1.28,0.98
1300,48.33,48.29,1.04,1.31,0.97
1300,48.32,48.30,1.09,1.26,0.99
1300,48.32,48.38,1.06,1.37,0.96
1400,48.31,48.29,2.10,2.43,1.76
1400,48.32,48.33,2.05,2.44,1.72
1400,48.21,48.30,2.09,2.50,1.71
1400,48.25,48.32,2.06,2.60,1.75
1400,48.25,48.29,2.03,2.66,1.74
1500,48.23,48.20,3.77,4.72,2.80
1500,48.29,48.24,3.74,4.62,2.76
1500,48.20,48.25,3.85,4.65,2.71
1500,48.24,48.27,3.75,4.71,2.78
1500,48.24,48.26,3.87,4.62,2.72
1600,48.20,48.10,5.85,7.28,3.72
1600,48.19,48.18,5.51,7.64,3.71
1600,48.15,48.20,5.73,7.54,3.70
1600,48.15,48.14,5.80,7.69,3.78
1600,48.10,48.20,5.75,7.33,3.76
1700,48.05,48.06,8.48,10.60,4.86
1700,48.08,48.05,8.22,10.03,4.79
1700,48.07,48.05,8.55,10.33,4.79
1700,48.09,48.03,8.55,10.26,4.81
1700,48.10,48.04,8.50,10.37,4.80
1800,47.92,47.94,12.62,15.99,6.11
1800,47.88,47.91,11.72,16.56,5.99
1800,47.92,47.94,11.62,15.86,5.99
1800,47.97,47.91,11.94,16.31,5.99
1800,47.98,47.93,11.85,15.92,5.94
