Time: Thu Dec  8 16:19:05 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.38,48.40,0.28,0.21,-0.00
1100,48.34,48.40,0.25,0.18,-0.00
1100,48.30,48.35,0.27,0.18,-0.00
1100,48.37,48.36,0.24,0.22,-0.00
1100,48.36,48.41,0.25,0.21,-0.00
1200,48.32,48.35,0.62,0.50,0.36
1200,48.36,48.32,0.61,0.48,0.37
1200,48.35,48.39,0.61,0.47,0.36
1200,48.38,48.32,0.56,0.46,0.36
1200,48.34,48.38,0.60,0.50,0.36
1300,48.29,48.34,1.12,1.02,0.90
1300,48.35,48.35,1.07,1.00,0.90
1300,48.36,48.33,1.14,0.99,0.86
1300,48.36,48.32,1.13,0.96,0.89
1300,48.37,48.35,1.10,0.98,0.90
1400,48.29,48.29,2.16,1.85,1.56
1400,48.32,48.33,2.11,1.92,1.58
1400,48.31,48.32,2.25,1.92,1.57
1400,48.27,48.28,2.13,1.89,1.58
1400,48.29,48.32,2.08,1.89,1.55
1500,48.25,48.28,3.88,3.60,2.46
1500,48.23,48.26,3.87,3.42,2.48
1500,48.23,48.28,3.75,3.68,2.50
1500,48.23,48.26,3.78,3.55,2.49
1500,48.24,48.29,3.96,3.69,2.50
1600,48.16,48.20,6.02,5.61,3.40
1600,48.11,48.20,5.83,5.52,3.43
1600,48.18,48.20,5.80,5.79,3.42
1600,48.10,48.20,5.94,5.59,3.39
1600,48.11,48.22,6.01,5.40,3.41
1700,48.12,48.11,8.52,7.72,4.30
1700,48.09,48.10,8.30,7.44,4.27
1700,48.10,48.12,8.40,8.10,4.28
1700,48.11,48.11,8.32,7.95,4.33
1700,48.11,48.07,8.69,7.43,4.34
1800,47.87,47.96,13.89,10.55,5.45
1800,47.90,47.96,13.01,10.43,5.37
1800,47.96,47.97,14.05,10.44,5.32
1800,47.90,47.97,13.55,10.53,5.24
1800,47.93,47.96,13.46,10.23,5.33
