Time: Mon Dec 12 09:51:02 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.24,48.26,0.23,0.18,0.00
1100,48.26,48.24,0.21,0.17,0.00
1100,48.22,48.27,0.24,0.20,0.00
1100,48.25,48.22,0.23,0.17,0.00
1200,48.19,48.20,0.80,0.48,0.43
1200,48.23,48.22,0.61,0.47,0.44
1200,48.25,48.26,0.64,0.50,0.43
1200,48.22,48.26,0.61,0.50,0.43
1300,48.18,48.23,1.16,1.01,0.97
1300,48.25,48.21,1.17,1.04,0.96
1300,48.24,48.22,1.16,1.06,0.97
1300,48.20,48.18,1.10,1.03,0.95
1400,48.15,48.24,2.21,1.99,1.70
1400,48.17,48.17,2.24,2.05,1.71
1400,48.16,48.23,2.24,2.05,1.72
1400,48.23,48.17,2.23,2.04,1.70
1500,48.13,48.14,4.02,3.73,2.66
1500,48.14,48.08,4.01,3.64,2.64
1500,48.16,48.13,4.18,3.73,2.63
1500,48.10,48.18,3.92,3.72,2.67
1600,48.06,48.08,5.80,5.81,3.58
1600,48.09,48.06,5.92,5.88,3.57
1600,48.09,48.10,5.76,6.01,3.56
1600,48.07,48.12,6.12,5.51,3.55
1700,48.01,48.00,8.86,7.72,4.52
1700,47.95,47.95,8.76,8.16,4.53
1700,48.00,47.97,8.98,7.74,4.54
1700,48.01,48.02,8.85,7.84,4.52
1800,47.85,47.85,12.90,11.02,5.62
1800,47.84,47.81,13.41,11.27,5.66
1800,47.99,47.88,13.52,11.20,5.64
1800,47.82,47.89,13.21,11.13,5.59
