Time: Thu Dec 22 14:32:07 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.41,48.33,0.22,0.31,-0.00
1000,48.34,48.38,0.21,0.29,-0.00
1000,48.38,48.45,0.21,0.28,-0.00
1000,48.34,48.39,0.20,0.27,-0.00
1000,48.36,48.41,0.21,0.29,-0.00
1100,48.41,48.43,0.50,0.53,0.29
1100,48.38,48.37,0.45,0.49,0.29
1100,48.35,48.39,0.46,0.50,0.28
1100,48.40,48.39,0.45,0.50,0.27
1100,48.41,48.40,0.47,0.50,0.28
1200,48.37,48.40,0.87,0.88,0.64
1200,48.35,48.37,0.84,0.86,0.63
1200,48.36,48.40,0.87,0.87,0.64
1200,48.40,48.42,0.88,0.86,0.65
1200,48.33,48.38,0.88,0.86,0.64
1300,48.31,48.35,1.42,1.38,1.08
1300,48.36,48.39,1.45,1.39,1.08
1300,48.34,48.40,1.40,1.36,1.11
1300,48.36,48.37,1.44,1.36,1.11
1300,48.34,48.35,1.36,1.39,1.06
1400,48.24,48.34,2.55,2.52,1.80
1400,48.29,48.34,2.53,2.35,1.81
1400,48.33,48.38,2.48,2.62,1.85
1400,48.31,48.37,2.57,2.49,1.86
1400,48.32,48.35,2.58,2.45,1.83
1500,48.23,48.35,4.03,3.75,2.55
1500,48.27,48.31,3.92,3.71,2.52
1500,48.24,48.29,3.66,3.74,2.51
1500,48.28,48.34,3.98,3.65,2.52
1500,48.25,48.27,3.90,3.74,2.53
1600,48.26,48.24,5.20,4.87,3.19
1600,48.23,48.28,5.40,5.16,3.20
1600,48.19,48.27,5.41,5.22,3.20
1600,48.13,48.27,5.62,4.95,3.15
1600,48.30,48.25,5.70,5.07,3.13
1700,48.15,48.22,7.61,6.81,3.98
1700,48.17,48.18,7.63,6.77,3.98
1700,48.14,48.20,7.38,7.05,3.99
1700,48.21,48.18,7.33,7.31,4.02
1700,48.19,48.20,7.40,7.19,4.01
1800,48.07,48.15,9.78,9.29,4.83
1800,48.09,48.17,9.76,9.18,4.92
1800,48.08,48.13,9.94,9.18,4.85
1800,48.08,48.15,9.78,9.11,4.88
1800,48.09,48.16,9.96,9.07,4.90
