Time: Fri Dec 23 08:27:37 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1000,48.35,48.39,0.22,0.26,-0.00
1000,48.32,48.33,0.18,0.25,-0.00
1000,48.39,48.29,0.20,0.23,-0.00
1000,48.36,48.33,0.18,0.25,-0.00
1000,48.35,48.32,0.19,0.25,-0.00
1100,48.33,48.37,0.44,0.46,0.31
1100,48.36,48.34,0.46,0.48,0.30
1100,48.34,48.28,0.48,0.45,0.31
1100,48.35,48.37,0.47,0.46,0.31
1100,48.31,48.36,0.45,0.46,0.31
1200,48.31,48.33,0.92,0.77,0.71
1200,48.33,48.38,0.87,0.80,0.72
1200,48.33,48.32,0.86,0.83,0.71
1200,48.32,48.36,0.85,0.83,0.71
1200,48.40,48.39,0.84,0.80,0.70
1300,48.33,48.32,1.46,1.36,1.17
1300,48.35,48.32,1.41,1.34,1.17
1300,48.30,48.34,1.45,1.37,1.17
1300,48.31,48.30,1.45,1.37,1.17
1300,48.33,48.28,1.44,1.38,1.16
1400,48.30,48.29,2.63,2.41,1.92
1400,48.30,48.34,2.58,2.45,1.91
1400,48.24,48.28,2.61,2.41,1.92
1400,48.23,48.32,2.53,2.39,1.90
1400,48.28,48.33,2.57,2.42,1.90
1500,48.21,48.27,3.97,3.76,2.56
1500,48.13,48.22,3.95,3.72,2.50
1500,48.29,48.26,4.16,3.58,2.50
1500,48.25,48.23,4.03,3.63,2.50
1500,48.25,48.27,3.82,3.68,2.52
1600,48.21,48.20,5.38,5.11,3.29
1600,48.11,48.22,5.45,5.14,3.25
1600,48.23,48.21,5.29,5.36,3.21
1600,48.16,48.19,5.42,5.29,3.17
1600,48.25,48.24,5.50,5.15,3.14
1700,48.11,48.13,7.39,7.04,4.09
1700,48.16,48.17,7.72,6.94,4.10
1700,48.11,48.13,7.24,6.98,4.13
1700,48.18,48.15,7.84,7.00,4.01
1700,48.11,48.13,7.78,6.85,4.04
1800,48.03,48.07,9.99,9.22,4.93
1800,48.09,48.12,10.03,8.95,4.98
1800,48.06,48.10,10.01,9.09,4.88
1800,48.00,48.05,9.99,9.05,4.94
1800,48.04,48.11,9.83,9.03,4.98
