Time: Thu Dec  1 14:23:00 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,50.48,46.57,0.01,28.12,-0.00
1100,50.50,46.03,0.01,23.52,0.00
1100,50.51,45.67,0.01,22.10,-0.00
1100,50.51,45.49,0.01,21.22,0.00
1100,50.52,45.43,0.01,20.78,0.00
1200,50.50,45.26,0.25,21.54,0.09
1200,50.51,45.21,0.24,20.74,0.10
1200,50.51,45.30,0.25,20.71,0.10
1200,50.51,44.98,0.23,20.64,0.10
1200,50.51,45.21,0.24,20.62,0.10
1300,50.47,45.29,0.50,21.08,0.21
1300,50.49,45.22,0.49,20.32,0.22
1300,50.49,45.04,0.51,20.41,0.22
1300,50.50,45.13,0.49,20.21,0.22
1300,50.50,45.11,0.48,20.42,0.22
1400,50.48,45.01,1.12,20.76,0.42
1400,50.50,44.99,1.09,20.13,0.42
1400,50.49,44.69,1.14,20.16,0.41
1400,50.50,45.14,1.07,20.20,0.42
1400,50.47,44.97,1.06,20.08,0.38
1500,50.46,44.56,1.79,19.84,0.60
1500,50.49,44.59,1.83,20.09,0.59
1500,50.47,44.71,1.81,20.35,0.59
1500,50.48,44.71,1.76,20.76,0.61
1500,50.47,44.92,1.83,20.66,0.61
1600,50.43,44.81,2.69,21.84,0.84
1600,50.45,44.91,2.73,21.21,0.84
1600,50.45,44.86,2.73,21.24,0.85
1600,50.42,44.51,2.81,20.62,0.82
1600,50.43,44.70,2.63,20.89,0.81
1700,50.39,44.10,3.92,21.76,1.12
1700,50.40,44.35,4.04,21.48,1.12
1700,50.39,44.46,3.93,21.46,1.14
1700,50.41,44.22,3.96,21.39,1.08
1700,50.40,44.31,3.91,21.28,1.12
1800,50.36,43.91,5.59,22.66,1.44
1800,50.37,44.62,5.65,22.06,1.41
1800,50.38,44.57,5.48,22.22,1.45
1800,50.37,44.11,5.61,22.28,1.45
1800,50.35,44.09,5.71,22.15,1.44
