Time: Fri Dec  2 15:33:42 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,50.57,54.36,0.00,32.46,-0.00
1100,50.58,52.13,0.00,28.17,-0.00
1100,50.58,51.55,0.00,27.15,-0.00
1100,50.60,51.96,0.00,26.91,0.00
1200,50.56,52.33,0.38,27.83,0.22
1200,50.58,52.18,0.33,27.21,0.22
1200,50.57,52.44,0.32,27.36,0.22
1200,50.59,52.56,0.33,27.41,0.21
1300,50.57,52.54,0.81,28.56,0.47
1300,50.57,52.87,0.80,28.25,0.46
1300,50.57,52.57,0.80,28.23,0.40
1300,50.58,52.99,0.82,28.46,0.43
1400,50.52,52.71,1.79,29.58,0.76
1400,50.53,53.22,1.70,29.03,0.74
1400,50.54,53.63,1.80,29.78,0.77
1400,50.54,54.32,1.79,29.82,0.81
1500,50.47,54.91,3.36,31.66,1.14
1500,50.50,55.52,3.35,31.47,1.17
1500,50.48,54.97,3.42,30.96,1.17
1500,50.50,54.47,3.35,30.96,1.19
1600,50.43,54.61,5.05,32.30,1.61
1600,50.44,56.05,5.25,34.75,1.58
1600,50.46,56.39,5.16,34.26,1.54
1600,50.47,56.44,5.09,34.12,1.64
1700,50.37,56.90,7.57,36.60,2.08
1700,50.38,58.09,7.60,36.74,2.10
1700,50.35,57.90,7.57,36.18,1.93
1700,50.38,57.66,7.66,36.84,2.07
1800,50.28,58.62,10.60,38.67,2.60
1800,50.32,57.26,10.39,37.31,2.58
1800,50.26,57.69,10.46,37.36,2.61
1800,50.32,57.69,10.72,37.47,2.55
1900,50.14,57.00,15.44,38.72,3.24
1900,50.14,55.99,15.50,38.39,3.17
1900,50.17,54.00,15.17,36.65,3.19
1900,50.19,54.00,15.31,36.92,3.22
