Time: Fri Dec  2 15:49:21 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,50.60,47.46,0.00,31.86,-0.00
1100,50.59,47.16,0.00,31.49,-0.00
1100,50.60,47.15,0.00,31.44,-0.00
1100,50.60,47.12,0.01,31.15,-0.00
1200,50.57,46.64,0.36,31.20,0.19
1200,50.59,47.16,0.34,31.03,0.19
1200,50.58,46.95,0.33,30.93,0.19
1200,50.59,47.03,0.34,30.93,0.19
1300,50.58,46.24,0.85,31.23,0.44
1300,50.57,46.70,0.90,30.96,0.44
1300,50.58,46.78,0.88,30.95,0.44
1300,50.57,46.52,0.87,30.52,0.44
1400,50.56,45.85,1.89,30.89,0.78
1400,50.55,46.68,1.87,30.74,0.79
1400,50.54,46.41,1.88,30.91,0.80
1400,50.56,46.75,1.90,30.79,0.79
1500,50.49,46.03,3.63,30.95,1.23
1500,50.51,46.38,3.62,30.99,1.20
1500,50.52,46.14,3.55,30.85,1.20
1500,50.50,46.39,3.55,31.08,1.18
1600,50.43,45.48,5.43,31.24,1.55
1600,50.45,46.02,5.28,30.93,1.56
1600,50.46,46.27,5.29,31.16,1.56
1600,50.44,45.99,5.31,30.82,1.54
1700,50.36,45.76,7.97,31.51,2.07
1700,50.37,46.03,8.02,31.87,2.07
1700,50.38,45.95,8.01,31.64,2.08
1700,50.33,45.93,8.06,31.26,2.06
1800,50.29,45.40,11.11,32.31,2.57
1800,50.28,46.01,11.11,31.87,2.59
1800,50.31,46.02,11.15,32.03,2.56
1800,50.28,45.96,11.32,31.91,2.54
1900,50.11,45.32,16.53,33.05,3.17
1900,50.28,45.69,16.70,33.71,3.24
1900,50.11,46.11,16.56,33.71,3.18
1900,50.17,46.16,16.17,33.18,3.10
