Time: Thu Dec  1 14:30:44 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,50.50,44.05,0.01,26.47,-0.00
1100,50.52,44.24,0.01,22.24,-0.00
1100,50.50,44.34,0.01,20.77,-0.00
1100,50.50,44.22,0.01,19.04,-0.00
1100,50.51,43.90,0.01,18.56,-0.00
1200,50.49,43.57,0.27,19.48,0.12
1200,50.52,43.80,0.27,18.81,0.12
1200,50.51,43.95,0.27,20.06,0.12
1200,50.52,44.48,0.26,20.62,0.12
1200,50.51,44.37,0.27,20.02,0.11
1300,50.49,44.51,0.57,19.66,0.25
1300,50.49,44.25,0.55,19.15,0.24
1300,50.51,44.25,0.55,19.11,0.24
1300,50.50,44.34,0.56,19.06,0.26
1300,50.49,44.22,0.58,18.99,0.25
1400,50.49,43.69,1.25,19.95,0.45
1400,50.48,44.11,1.21,19.18,0.44
1400,50.47,43.78,1.18,19.04,0.45
1400,50.49,44.11,1.19,19.07,0.44
1400,50.46,43.87,1.25,19.02,0.46
1500,50.44,43.62,2.12,20.38,0.65
1500,50.45,43.95,2.02,19.55,0.67
1500,50.46,43.77,2.09,19.72,0.67
1500,50.46,43.78,2.11,19.59,0.70
1500,50.47,43.75,2.11,19.62,0.68
1600,50.43,43.23,3.08,20.44,0.97
1600,50.46,43.15,3.15,19.78,0.94
1600,50.42,43.25,3.20,19.78,0.96
1600,50.41,43.20,3.19,19.83,0.99
1600,50.41,43.25,3.18,19.77,0.99
1700,50.38,43.01,4.62,24.37,1.26
1700,50.38,44.66,4.48,23.45,1.20
1700,50.40,44.48,4.58,22.67,1.22
1700,50.36,44.63,4.47,21.66,1.25
1700,50.38,44.26,4.59,21.97,1.29
1800,50.33,44.02,6.37,22.27,1.60
1800,50.33,43.99,6.56,22.12,1.60
1800,50.28,43.52,6.38,21.75,1.56
1800,50.33,44.00,6.22,21.72,1.61
1800,50.33,43.63,6.33,21.92,1.56
